Eg,Eic,eff
0.02,0.01,1.487758067
0.03,0.01,2.230272902
0.03,0.02,2.230272902
0.04,0.01,2.971255581
0.04,0.02,2.971255581
0.04,0.03,2.971255581
0.05,0.01,3.710250875
0.05,0.02,3.710250875
0.05,0.03,3.710250875
0.05,0.04,3.710250875
0.06,0.01,4.446812831
0.06,0.02,4.446812831
0.06,0.03,4.446812831
0.06,0.04,4.446812831
0.06,0.05,4.446812831
0.07,0.01,5.18050465
0.07,0.02,5.18050465
0.07,0.03,5.18050465
0.07,0.04,5.18050465
0.07,0.05,5.18050465
0.07,0.06,5.18050465
0.08,0.01,5.910898555
0.08,0.02,5.910898555
0.08,0.03,5.910898555
0.08,0.04,5.910898555
0.08,0.05,5.910898555
0.08,0.06,5.910898555
0.08,0.07,5.910898555
0.09,0.01,6.637575669
0.09,0.02,6.637575669
0.09,0.03,6.637575669
0.09,0.04,6.637575669
0.09,0.05,6.637575669
0.09,0.06,6.637575669
0.09,0.07,6.637575669
0.09,0.08,6.637575669
0.1,0.01,7.370897041
0.1,0.02,7.380632383
0.1,0.03,7.383723465
0.1,0.04,7.371975806
0.1,0.05,7.360125884
0.1,0.06,7.371993516
0.1,0.07,7.383785704
0.1,0.08,7.380528488
0.1,0.09,7.370876692
0.11,0.01,8.091108127
0.11,0.02,8.102954404
0.11,0.03,8.113219611
0.11,0.04,8.099520916
0.11,0.05,8.085288038
0.11,0.06,8.085295317
0.11,0.07,8.099535517
0.11,0.08,8.11275727
0.11,0.09,8.102842397
0.11,0.1,8.09108439
0.12,0.01,8.80657317
0.12,0.02,8.82070976
0.12,0.03,8.83360825
0.12,0.04,8.824937198
0.12,0.05,8.808136294
0.12,0.06,8.791248294
0.12,0.07,8.80816624
0.12,0.08,8.824987364
0.12,0.09,8.833154684
0.12,0.1,8.820586622
0.12,0.11,8.806545738
0.13,0.01,9.516901211
0.13,0.02,9.533501067
0.13,0.03,9.548807598
0.13,0.04,9.548113159
0.13,0.05,9.52859886
0.13,0.06,9.508914968
0.13,0.07,9.508924486
0.13,0.08,9.528648124
0.13,0.09,9.548234716
0.13,0.1,9.548391483
0.13,0.11,9.533364085
0.13,0.12,9.516869785
0.14,0.01,10.22170966
0.14,0.02,10.24093937
0.14,0.03,10.25881032
0.14,0.04,10.2688598
0.14,0.05,10.2465711
0.14,0.06,10.2239014
0.14,0.07,10.20115558
0.14,0.08,10.2239498
0.14,0.09,10.24661449
0.14,0.1,10.26908813
0.14,0.11,10.25839865
0.14,0.12,10.24078658
0.14,0.13,10.22167396
0.15,0.01,10.92062416
0.15,0.02,10.94264405
0.15,0.03,10.96324244
0.15,0.04,10.98211299
0.15,0.05,10.9619598
0.15,0.06,10.93616833
0.15,0.07,10.91022731
0.15,0.08,10.91023943
0.15,0.09,10.93624345
0.15,0.1,10.96206595
0.15,0.11,10.98079083
0.15,0.12,10.96281895
0.15,0.13,10.94247717
0.15,0.14,10.92058393
0.16,0.01,11.61327849
0.16,0.02,11.63824268
0.16,0.03,11.66172617
0.16,0.04,11.68365771
0.16,0.05,11.6746569
0.16,0.06,11.64560114
0.16,0.07,11.61627762
0.16,0.08,11.58686982
0.16,0.09,11.6163389
0.16,0.1,11.64563677
0.16,0.11,11.67486819
0.16,0.12,11.68249538
0.16,0.13,11.66128196
0.16,0.14,11.6380604
0.16,0.15,11.61323342
0.17,0.01,12.29931441
0.17,0.02,12.32737095
0.17,0.03,12.35389128
0.17,0.04,12.37882531
0.17,0.05,12.38450347
0.17,0.06,12.35211488
0.17,0.07,12.31927211
0.17,0.08,12.28629814
0.17,0.09,12.28631324
0.17,0.1,12.31937856
0.17,0.11,12.35221096
0.17,0.12,12.38488037
0.17,0.13,12.37774593
0.17,0.14,12.35342038
0.17,0.15,12.32717209
0.17,0.16,12.29926424
0.18,0.01,12.97838154
0.18,0.02,13.00967249
0.18,0.03,13.03937544
0.18,0.04,13.06744399
0.18,0.05,13.0906438
0.18,0.06,13.05561887
0.18,0.07,13.01912347
0.18,0.08,12.98238497
0.18,0.09,12.94554138
0.18,0.1,12.98245684
0.18,0.11,13.0192752
0.18,0.12,13.05581129
0.18,0.13,13.08890048
0.18,0.14,13.06638727
0.18,0.15,13.03887309
0.18,0.16,13.00945595
0.18,0.17,12.97832598
0.19,0.01,13.65013724
0.19,0.02,13.68479878
0.19,0.03,13.71782421
0.19,0.04,13.74916802
0.19,0.05,13.77828086
0.19,0.06,13.75600784
0.19,0.07,13.71573359
0.19,0.08,13.67508081
0.19,0.09,13.63432702
0.19,0.1,13.63434549
0.19,0.11,13.67522987
0.19,0.12,13.71581865
0.19,0.13,13.75634457
0.19,0.14,13.77597181
0.19,0.15,13.7481023
0.19,0.16,13.71728491
0.19,0.17,13.68456353
0.19,0.18,13.65007605
0.2,0.01,14.31424653
0.2,0.02,14.35240901
0.2,0.03,14.38889095
0.2,0.04,14.42364668
0.2,0.05,14.45658234
0.2,0.06,14.45313572
0.2,0.07,14.40902295
0.2,0.08,14.3643571
0.2,0.09,14.31946751
0.2,0.1,14.27444496
0.2,0.11,14.31955161
0.2,0.12,14.36455815
0.2,0.13,14.4092021
0.2,0.14,14.45368263
0.2,0.15,14.45426317
0.2,0.16,14.42255366
0.2,0.17,14.38830645
0.2,0.18,14.35215413
0.2,0.19,14.31417943
0.21,0.01,14.97038186
0.21,0.02,15.01216999
0.21,0.03,15.0522367
0.21,0.04,15.09053574
0.21,0.05,15.12700049
0.21,0.06,15.14662005
0.21,0.07,15.09890245
0.21,0.08,15.05008609
0.21,0.09,15.00089113
0.21,0.1,14.95163608
0.21,0.11,14.95165827
0.21,0.12,15.00109326
0.21,0.13,15.05015768
0.21,0.14,15.09921717
0.21,0.15,15.14691845
0.21,0.16,15.12481708
0.21,0.17,15.08940318
0.21,0.18,15.05161705
0.21,0.19,15.01189448
0.21,0.2,14.97030867
0.22,0.01,15.61822312
0.22,0.02,15.66375597
0.22,0.03,15.70753006
0.22,0.04,15.74949832
0.22,0.05,15.78960148
0.22,0.06,15.82672697
0.22,0.07,15.78526864
0.22,0.08,15.73219544
0.22,0.09,15.6786407
0.22,0.1,15.62489411
0.22,0.11,15.57097557
0.22,0.12,15.62499195
0.22,0.13,15.67890147
0.22,0.14,15.73236054
0.22,0.15,15.78577199
0.22,0.16,15.82182241
0.22,0.17,15.78746825
0.22,0.18,15.74831723
0.22,0.19,15.7068726
0.22,0.2,15.66345894
0.22,0.21,15.61814349
0.23,0.01,16.25745739
0.23,0.02,16.30684855
0.23,0.03,16.35444706
0.23,0.04,16.40020492
0.23,0.05,16.44406571
0.23,0.06,16.48506329
0.23,0.07,16.46798227
0.23,0.08,16.41060645
0.23,0.09,16.35255956
0.23,0.1,16.29413233
0.23,0.11,16.23566593
0.23,0.12,16.23569227
0.23,0.13,16.2943834
0.23,0.14,16.35289655
0.23,0.15,16.41090516
0.23,0.16,16.46874402
0.23,0.17,16.48143242
0.23,0.18,16.44193394
0.23,0.19,16.39896784
0.23,0.2,16.35374942
0.23,0.21,16.30652913
0.23,0.22,16.25737114
0.24,0.01,16.88777893
0.24,0.02,16.94113657
0.24,0.03,16.99267107
0.24,0.04,17.04233342
0.24,0.05,17.09006832
0.24,0.06,17.13576078
0.24,0.07,17.14675762
0.24,0.08,17.08523102
0.24,0.09,17.02257208
0.24,0.1,16.95943122
0.24,0.11,16.8961503
0.24,0.12,16.83264466
0.24,0.13,16.89626341
0.24,0.14,16.95976787
0.24,0.15,17.02272034
0.24,0.16,17.08570989
0.24,0.17,17.14769045
0.24,0.18,17.13178144
0.24,0.19,17.08790796
0.24,0.2,17.04103322
0.24,0.21,16.9919311
0.24,0.22,16.94079391
0.24,0.23,16.88768579
0.25,0.01,17.50888896
0.25,0.02,17.56631596
0.25,0.03,17.62189264
0.25,0.04,17.67556897
0.25,0.05,17.72728991
0.25,0.06,17.7769722
0.25,0.07,17.81901799
0.25,0.08,17.75596656
0.25,0.09,17.68860904
0.25,0.1,17.62065489
0.25,0.11,17.55234905
0.25,0.12,17.48397193
0.25,0.13,17.48400283
0.25,0.14,17.55262995
0.25,0.15,17.62107547
0.25,0.16,17.6888913
0.25,0.17,17.75668368
0.25,0.18,17.81250677
0.25,0.19,17.77318363
0.25,0.2,17.72508052
0.25,0.21,17.67419511
0.25,0.22,17.62110833
0.25,0.23,17.56594917
0.25,0.24,17.50878869
0.26,0.01,18.12049562
0.26,0.02,18.18208963
0.26,0.03,18.24180939
0.26,0.04,18.29960386
0.26,0.05,18.3554178
0.26,0.06,18.40917887
0.26,0.07,18.45948233
0.26,0.08,18.42267722
0.26,0.09,18.35059186
0.26,0.1,18.2776998
0.26,0.11,18.2043015
0.26,0.12,18.13083454
0.26,0.13,18.05707619
0.26,0.14,18.13096445
0.26,0.15,18.20473082
0.26,0.16,18.27782798
0.26,0.17,18.35105277
0.26,0.18,18.42370644
0.26,0.19,18.45279436
0.26,0.2,18.40547398
0.26,0.21,18.35314432
0.26,0.22,18.29814079
0.26,0.23,18.24097887
0.26,0.24,18.18169796
0.26,0.25,18.12038796
0.27,0.01,18.7223138
0.27,0.02,18.78816736
0.27,0.03,18.85212593
0.27,0.04,18.91413744
0.27,0.05,18.97414622
0.27,0.06,19.03208491
0.27,0.07,19.08761418
0.27,0.08,19.08511599
0.27,0.09,19.00843272
0.27,0.1,18.93050326
0.27,0.11,18.85198381
0.27,0.12,18.77315919
0.27,0.13,18.69422015
0.27,0.14,18.69425605
0.27,0.15,18.77347373
0.27,0.16,18.85250137
0.27,0.17,18.93076621
0.27,0.18,19.00912382
0.27,0.19,19.08645578
0.27,0.2,19.08108948
0.27,0.21,19.0283983
0.27,0.22,18.97179675
0.27,0.23,18.91260942
0.27,0.24,18.85124744
0.27,0.25,18.78775002
0.27,0.26,18.72219855
0.28,0.01,19.31406504
0.28,0.02,19.38426565
0.28,0.03,19.45255366
0.28,0.04,19.51887598
0.28,0.05,19.58317635
0.28,0.06,19.64538988
0.28,0.07,19.70538327
