wl(um)	n	k
0.4	0.14053	1.9007
0.401	0.14024	1.9113
0.402	0.13995	1.9218
0.403	0.13965	1.9323
0.404	0.13936	1.9428
0.405	0.13907	1.9533
0.406	0.13877	1.9639
0.407	0.13848	1.9744
0.408	0.13825	1.9846
0.409	0.13806	1.9947
0.41	0.13787	2.0048
0.411	0.13769	2.0149
0.412	0.1375	2.0249
0.413	0.13731	2.035
0.414	0.13713	2.0451
0.415	0.13694	2.0552
0.416	0.13676	2.0652
0.417	0.13665	2.0749
0.418	0.13654	2.0846
0.419	0.13643	2.0943
0.42	0.13632	2.104
0.421	0.13622	2.1138
0.422	0.13611	2.1235
0.423	0.136	2.1332
0.424	0.13589	2.1429
0.425	0.13581	2.1524
0.426	0.13575	2.1618
0.427	0.1357	2.1712
0.428	0.13565	2.1806
0.429	0.1356	2.19
0.43	0.13555	2.1994
0.431	0.1355	2.2088
0.432	0.13544	2.2182
0.433	0.13539	2.2276
0.434	0.13537	2.2368
0.435	0.13536	2.2459
0.436	0.13535	2.255
0.437	0.13534	2.2641
0.438	0.13533	2.2732
0.439	0.13532	2.2824
0.44	0.13531	2.2915
0.441	0.13531	2.3006
0.442	0.1353	2.3097
0.443	0.13531	2.3187
0.444	0.13533	2.3276
0.445	0.13535	2.3365
0.446	0.13538	2.3453
0.447	0.1354	2.3542
0.448	0.13542	2.3631
0.449	0.13545	2.372
0.45	0.13547	2.3809
0.451	0.13549	2.3898
0.452	0.13553	2.3986
0.453	0.13557	2.4072
0.454	0.13562	2.4159
0.455	0.13567	2.4246
0.456	0.13571	2.4333
0.457	0.13576	2.442
0.458	0.13581	2.4506
0.459	0.13586	2.4593
0.46	0.1359	2.468
0.461	0.13595	2.4767
0.462	0.13602	2.4852
0.463	0.13608	2.4937
0.464	0.13615	2.5022
0.465	0.13621	2.5107
0.466	0.13628	2.5192
0.467	0.13635	2.5277
0.468	0.13641	2.5362
0.469	0.13648	2.5447
0.47	0.13654	2.5532
0.471	0.13662	2.5616
0.472	0.1367	2.57
0.473	0.13678	2.5783
0.474	0.13686	2.5867
0.475	0.13694	2.595
0.476	0.13702	2.6034
0.477	0.1371	2.6117
0.478	0.13718	2.62
0.479	0.13726	2.6284
0.48	0.13734	2.6367
0.481	0.13742	2.645
0.482	0.13751	2.6532
0.483	0.13761	2.6614
0.484	0.1377	2.6696
0.485	0.13779	2.6778
0.486	0.13788	2.686
0.487	0.13797	2.6942
0.488	0.13806	2.7024
0.489	0.13815	2.7106
0.49	0.13824	2.7188
0.491	0.13834	2.727
0.492	0.13844	2.735
0.493	0.13854	2.7431
0.494	0.13864	2.7512
0.495	0.13874	2.7593
0.496	0.13884	2.7674
0.497	0.13894	2.7754
0.498	0.13904	2.7835
0.499	0.13914	2.7916
0.5	0.13924	2.7997
0.501	0.13935	2.8077
0.502	0.13946	2.8157
0.503	0.13956	2.8237
0.504	0.13967	2.8316
0.505	0.13978	2.8396
0.506	0.13989	2.8476
0.507	0.13999	2.8556
0.508	0.1401	2.8635
0.509	0.14021	2.8715
0.51	0.14032	2.8795
0.511	0.14042	2.8874
0.512	0.14054	2.8953
0.513	0.14065	2.9032
0.514	0.14077	2.911
0.515	0.14088	2.9189
0.516	0.14099	2.9268
0.517	0.14111	2.9347
0.518	0.14122	2.9425
0.519	0.14133	2.9504
0.52	0.14145	2.9583
0.521	0.14156	2.9661
0.522	0.14168	2.974
0.523	0.1418	2.9818
0.524	0.14192	2.9895
0.525	0.14203	2.9973
0.526	0.14215	3.0051
0.527	0.14227	3.0129
0.528	0.14239	3.0207
0.529	0.14251	3.0285
0.53	0.14263	3.0362
0.531	0.14275	3.044
0.532	0.14287	3.0518
0.533	0.14299	3.0595
0.534	0.14311	3.0672
0.535	0.14324	3.0749
0.536	0.14336	3.0826
0.537	0.14348	3.0903
0.538	0.14361	3.098
0.539	0.14373	3.1057
0.54	0.14386	3.1134
0.541	0.14398	3.1211
0.542	0.1441	3.1288
0.543	0.14423	3.1366
0.544	0.14435	3.1442
0.545	0.14448	3.1518
0.546	0.14461	3.1595
0.547	0.14474	3.1671
0.548	0.14486	3.1747
0.549	0.14499	3.1824
0.55	0.14512	3.19
0.551	0.14525	3.1976
0.552	0.14537	3.2052
0.553	0.1455	3.2129
0.554	0.14563	3.2205
0.555	0.14576	3.2281
0.556	0.14589	3.2357
0.557	0.14602	3.2432
0.558	0.14615	3.2508
0.559	0.14629	3.2583
0.56	0.14642	3.2659
0.561	0.14655	3.2735
0.562	0.14668	3.281
0.563	0.14681	3.2886
0.564	0.14694	3.2961
0.565	0.14708	3.3037
0.566	0.14721	3.3113
0.567	0.14734	3.3188
0.568	0.14748	3.3263
0.569	0.14761	3.3338
0.57	0.14775	3.3413
0.571	0.14788	3.3488
0.572	0.14802	3.3563
0.573	0.14815	3.3638
0.574	0.14829	3.3713
0.575	0.14842	3.3788
0.576	0.14856	3.3863
0.577	0.14869	3.3938
0.578	0.14883	3.4013
0.579	0.14897	3.4087
0.58	0.14911	3.4162
0.581	0.14925	3.4236
0.582	0.14939	3.4311
0.583	0.14952	3.4385
0.584	0.14966	3.4459
0.585	0.1498	3.4534
0.586	0.14994	3.4608
0.587	0.15008	3.4683
0.588	0.15022	3.4757
0.589	0.15036	3.4832
0.59	0.1505	3.4906
0.591	0.15064	3.498
0.592	0.15078	3.5054
0.593	0.15092	3.5128
0.594	0.15107	3.5202
0.595	0.15121	3.5276
0.596	0.15135	3.535
0.597	0.15149	3.5423
0.598	0.15164	3.5497
0.599	0.15178	3.5571
0.6	0.15192	3.5645
0.601	0.15206	3.5719
0.602	0.1522	3.5793
0.603	0.15235	3.5867
0.604	0.15249	3.594
0.605	0.15264	3.6014
0.606	0.15279	3.6087
0.607	0.15293	3.616
0.608	0.15308	3.6234
0.609	0.15322	3.6307
0.61	0.15337	3.6381
0.611	0.15352	3.6454
0.612	0.15366	3.6528
0.613	0.15381	3.6601
0.614	0.15395	3.6675
0.615	0.1541	3.6748
0.616	0.15425	3.6821
0.617	0.1544	3.6894
0.618	0.15455	3.6967
0.619	0.1547	3.704
0.62	0.15485	3.7113
0.621	0.15499	3.7186
0.622	0.15514	3.7259
0.623	0.15529	3.7332
0.624	0.15544	3.7405
0.625	0.15559	3.7478
0.626	0.15574	3.7551
0.627	0.15589	3.7624
0.628	0.15604	3.7697
0.629	0.15619	3.7769
0.63	0.15635	3.7842
0.631	0.1565	3.7914
0.632	0.15665	3.7987
0.633	0.1568	3.806
0.634	0.15696	3.8132
0.635	0.15711	3.8205
0.636	0.15726	3.8277
0.637	0.15741	3.835
0.638	0.15757	3.8423
0.639	0.15772	3.8495
0.64	0.15787	3.8568
0.641	0.15803	3.864
0.642	0.15818	3.8713
0.643	0.15834	3.8785
0.644	0.1585	3.8857
0.645	0.15865	3.8929
0.646	0.15881	3.9001
0.647	0.15896	3.9074
0.648	0.15912	3.9146
0.649	0.15928	3.9218
0.65	0.15943	3.929
0.651	0.15959	3.9362
0.652	0.15975	3.9435
0.653	0.1599	3.9507
0.654	0.16006	3.9579
0.655	0.16022	3.9651
0.656	0.16038	3.9723
0.657	0.16054	3.9795
0.658	0.1607	3.9867
0.659	0.16086	3.9938
0.66	0.16102	4.001
0.661	0.16118	4.0082
0.662	0.16134	4.0154
0.663	0.1615	4.0226
0.664	0.16166	4.0298
0.665	0.16182	4.037
0.666	0.16198	4.0441
0.667	0.16214	4.0513
0.668	0.1623	4.0585
0.669	0.16246	4.0657
0.67	0.16262	4.0728
0.671	0.16279	4.08
0.672	0.16295	4.0871
0.673	0.16311	4.0943
0.674	0.16328	4.1014
0.675	0.16344	4.1086
0.676	0.1636	4.1157
0.677	0.16377	4.1229
0.678	0.16393	4.13
0.679	0.16409	4.1372
0.68	0.16426	4.1443
0.681	0.16442	4.1515
0.682	0.16459	4.1586
0.683	0.16475	4.1658
0.684	0.16492	4.1729
0.685	0.16509	4.18
0.686	0.16526	4.1871
0.687	0.16542	4.1942
0.688	0.16559	4.2014
0.689	0.16576	4.2085
0.69	0.16593	4.2156
0.691	0.16609	4.2227
0.692	0.16626	4.2299
0.693	0.16643	4.237
0.694	0.16659	4.2441
0.695	0.16676	4.2512
0.696	0.16693	4.2583
0.697	0.1671	4.2654
0.698	0.16727	4.2725
0.699	0.16744	4.2796
0.7	0.16761	4.2867
0.701	0.16779	4.2938
0.702	0.16796	4.3009
0.703	0.16813	4.308
0.704	0.1683	4.3151
0.705	0.16847	4.3222
0.706	0.16864	4.3293
0.707	0.16881	4.3364
0.708	0.16898	4.3435
0.709	0.16915	4.3506
0.71	0.16932	4.3577
0.711	0.1695	4.3647
0.712	0.16967	4.3718
0.713	0.16985	4.3789
0.714	0.17002	4.3859
0.715	0.1702	4.393
0.716	0.17037	4.4001
0.717	0.17055	4.4071
0.718	0.17072	4.4142
0.719	0.1709	4.4213
0.72	0.17107	4.4283
0.721	0.17125	4.4354
0.722	0.17142	4.4425
0.723	0.1716	4.4495
0.724	0.17177	4.4566
0.725	0.17195	4.4637
0.726	0.17213	4.4707
0.727	0.17231	4.4777
0.728	0.17249	4.4848
0.729	0.17267	4.4918
0.73	0.17284	4.4989
0.731	0.17302	4.5059
0.732	0.1732	4.513
0.733	0.17338	4.52
0.734	0.17356	4.527
0.735	0.17374	4.5341
0.736	0.17392	4.5411
0.737	0.1741	4.5482
0.738	0.17428	4.5552
0.739	0.17446	4.5623
0.74	0.17464	4.5693
0.741	0.17482	4.5763
0.742	0.175	4.5833
0.743	0.17518	4.5903
0.744	0.17537	4.5974
0.745	0.17555	4.6044
0.746	0.17573	4.6114
0.747	0.17592	4.6184
0.748	0.1761	4.6254
0.749	0.17628	4.6325
0.75	0.17647	4.6395
0.751	0.17665	4.6465
0.752	0.17683	4.6535
0.753	0.17702	4.6605
0.754	0.1772	4.6676
0.755	0.17738	4.6746
0.756	0.17757	4.6816
0.757	0.17775	4.6886
0.758	0.17794	4.6956
0.759	0.17813	4.7026
0.76	0.17832	4.7096
0.761	0.1785	4.7166
0.762	0.17869	4.7236
0.763	0.17888	4.7305
0.764	0.17907	4.7375
0.765	0.17925	4.7445
0.766	0.17944	4.7515
0.767	0.17963	4.7585
0.768	0.17982	4.7655
0.769	0.18	4.7725
0.77	0.18019	4.7795
0.771	0.18038	4.7865
0.772	0.18057	4.7935
0.773	0.18076	4.8005
0.774	0.18095	4.8074
0.775	0.18114	4.8144
0.776	0.18134	4.8214
0.777	0.18153	4.8284
0.778	0.18172	4.8353
0.779	0.18191	4.8423
0.78	0.1821	4.8493
0.781	0.18229	4.8563
0.782	0.18248	4.8632
0.783	0.18268	4.8702
0.784	0.18287	4.8772
0.785	0.18306	4.8842
0.786	0.18325	4.8912
0.787	0.18344	4.8981
0.788	0.18364	4.9051
0.789	0.18383	4.912
0.79	0.18403	4.919
0.791	0.18423	4.9259
0.792	0.18442	4.9329
0.793	0.18462	4.9399
0.794	0.18481	4.9468
0.795	0.18501	4.9538
0.796	0.18521	4.9607
0.797	0.1854	4.9677
0.798	0.1856	4.9746
0.799	0.1858	4.9816
0.8	0.18599	4.9886
0.801	0.18619	4.9955
0.802	0.18638	5.0025
0.803	0.18658	5.0094
0.804	0.18678	5.0164
0.805	0.18698	5.0233
0.806	0.18718	5.0302
0.807	0.18738	5.0372
0.808	0.18758	5.0441
0.809	0.18778	5.051
0.81	0.18798	5.058
0.811	0.18818	5.0649
0.812	0.18838	5.0719
0.813	0.18858	5.0788
0.814	0.18878	5.0857
0.815	0.18898	5.0927
0.816	0.18918	5.0996
0.817	0.18938	5.1065
0.818	0.18958	5.1135
0.819	0.18979	5.1204
0.82	0.18999	5.1274
0.821	0.19019	5.1343
0.822	0.1904	5.1412
0.823	0.1906	5.1481
0.824	0.19081	5.155
0.825	0.19101	5.162
0.826	0.19122	5.1689
0.827	0.19142	5.1758
0.828	0.19163	5.1827
0.829	0.19183	5.1896
0.83	0.19204	5.1966
0.831	0.19224	5.2035
0.832	0.19245	5.2104
0.833	0.19265	5.2173
0.834	0.19286	5.2242
0.835	0.19306	5.2311
0.836	0.19327	5.2381
0.837	0.19347	5.245
0.838	0.19368	5.2519
0.839	0.19389	5.2588
0.84	0.1941	5.2657
0.841	0.19431	5.2726
0.842	0.19452	5.2795
0.843	0.19473	5.2864
0.844	0.19494	5.2933
0.845	0.19515	5.3002
0.846	0.19536	5.3071
0.847	0.19557	5.314
0.848	0.19578	5.3209
0.849	0.19599	5.3278
0.85	0.1962	5.3347
0.851	0.19641	5.3416
0.852	0.19662	5.3485
0.853	0.19683	5.3554
0.854	0.19704	5.3623
0.855	0.19725	5.3692
0.856	0.19746	5.3761
0.857	0.19768	5.383
0.858	0.19789	5.3899
0.859	0.19811	5.3968
0.86	0.19832	5.4037
0.861	0.19854	5.4106
0.862	0.19875	5.4174
0.863	0.19897	5.4243
0.864	0.19918	5.4312
0.865	0.1994	5.4381
0.866	0.19961	5.445
0.867	0.19983	5.4519
0.868	0.20004	5.4588
0.869	0.20025	5.4657
0.87	0.20047	5.4725
0.871	0.20068	5.4794
0.872	0.2009	5.4863
0.873	0.20112	5.4932
0.874	0.20134	5.5001
0.875	0.20156	5.5069
0.876	0.20177	5.5138
0.877	0.20199	5.5207
0.878	0.20221	5.5275
0.879	0.20243	5.5344
0.88	0.20265	5.5413
0.881	0.20287	5.5482
0.882	0.20309	5.555
0.883	0.20331	5.5619
0.884	0.20353	5.5688
0.885	0.20375	5.5757
0.886	0.20397	5.5825
0.887	0.20419	5.5894
0.888	0.20441	5.5963
0.889	0.20463	5.6031
0.89	0.20485	5.61
0.891	0.20507	5.6169
0.892	0.20529	5.6237
0.893	0.20552	5.6306
0.894	0.20574	5.6375
0.895	0.20597	5.6443
0.896	0.20619	5.6512
0.897	0.20642	5.658
0.898	0.20664	5.6649
0.899	0.20687	5.6717
0.9	0.20709	5.6786
0.901	0.20731	5.6855
0.902	0.20754	5.6923
0.903	0.20776	5.6992
0.904	0.20799	5.706
0.905	0.20821	5.71E+00
0.906	0.20844	5.72E+00
0.907	0.20866	5.73E+00
0.908	0.20889	5.73E+00
0.909	0.20911	5.74E+00
0.91	0.20934	5.75E+00
0.911	0.20957	5.75E+00
0.912	0.2098	5.76E+00
0.913	0.21003	5.77E+00
0.914	0.21026	5.77E+00
0.915	0.21049	5.78E+00
0.916	0.21072	5.79E+00
0.917	0.21095	5.80E+00
0.918	0.21118	5.80E+00
0.919	0.21141	5.81E+00
0.92	0.21164	5.82E+00
0.921	0.21186	5.82E+00
0.922	0.21209	5.83E+00
0.923	0.21232	5.84E+00
0.924	0.21255	5.84E+00
0.925	0.21278	5.85E+00
0.926	0.21301	5.86E+00
0.927	0.21324	5.86E+00
0.928	0.21347	5.87E+00
0.929	0.21371	5.88E+00
0.93	0.21394	5.88E+00
0.931	0.21418	5.89E+00
0.932	0.21441	5.90E+00
0.933	0.21465	5.90E+00
0.934	0.21488	5.91E+00
0.935	0.21512	5.92E+00
0.936	0.21535	5.93E+00
0.937	0.21559	5.93E+00
0.938	0.21582	5.94E+00
0.939	0.21605	5.95E+00
0.94	0.21629	5.95E+00
0.941	0.21652	5.96E+00
0.942	0.21676	5.97E+00
0.943	0.21699	5.97E+00
0.944	0.21723	5.98E+00
0.945	0.21746	5.99E+00
0.946	0.2177	5.99E+00
0.947	0.21793	6.00E+00
0.948	0.21817	6.01E+00
0.949	0.21841	6.01E+00
0.95	0.21865	6.02E+00
0.951	0.21889	6.03E+00
0.952	0.21913	6.03E+00
0.953	0.21937	6.04E+00
0.954	0.21961	6.05E+00
0.955	0.21985	6.05E+00
0.956	0.22009	6.06E+00
0.957	0.22033	6.07E+00
0.958	0.22057	6.08E+00
0.959	0.22081	6.08E+00
0.96	0.22105	6.09E+00
