wl(um)	n	k
0.4	3.8718	0.22291
0.401	3.8692	0.22093
0.402	3.8666	0.21895
0.403	3.864	0.21697
0.404	3.8614	0.21499
0.405	3.8588	0.21301
0.406	3.8562	0.21103
0.407	3.8535	0.20905
0.408	3.8509	0.20707
0.409	3.8483	0.20509
0.41	3.8457	0.20311
0.411	3.8423	0.20113
0.412	3.8389	0.19915
0.413	3.8356	0.19717
0.414	3.8322	0.19519
0.415	3.8289	0.19321
0.416	3.8255	0.19123
0.417	3.8222	0.18925
0.418	3.8177	0.18727
0.419	3.8132	0.18528
0.42	3.8088	0.1833
0.421	3.8043	0.18132
0.422	3.7998	0.18079
0.423	3.7953	0.18028
0.424	3.7908	0.17977
0.425	3.7864	0.17926
0.426	3.7819	0.17875
0.427	3.7774	1.78E-01
0.428	3.7726	1.78E-01
0.429	3.7675	1.77E-01
0.43	3.7624	1.77E-01
0.431	3.7573	1.76E-01
0.432	3.7522	1.76E-01
0.433	3.7471	1.76E-01
0.434	3.742	1.76E-01
0.435	3.7369	1.77E-01
0.436	3.732	1.78E-01
0.437	3.7274	1.78E-01
0.438	3.7227	1.79E-01
0.439	3.7181	1.80E-01
0.44	3.7134	1.80E-01
0.441	3.7087	1.81E-01
0.442	3.7041	1.82E-01
0.443	3.6994	1.82E-01
0.444	3.695	1.83E-01
0.445	3.6918	1.84E-01
0.446	3.6885	1.84E-01
0.447	3.6852	1.85E-01
0.448	3.6819	1.86E-01
0.449	3.6787	1.87E-01
0.45	3.6754	1.87E-01
0.451	3.6735	1.88E-01
0.452	3.6724	1.89E-01
0.453	3.6735	1.89E-01
0.454	3.6775	1.89E-01
0.455	3.6814	1.88E-01
0.456	3.6854	1.88E-01
0.457	3.6893	1.88E-01
0.458	3.6933	1.87E-01
0.459	3.6972	1.83E-01
0.46	3.7012	1.77E-01
0.461	3.7051	1.72E-01
0.462	3.7126	1.62E-01
0.463	3.7217	1.52E-01
0.464	3.7307	1.41E-01
0.465	3.7398	1.31E-01
0.466	3.7489	1.21E-01
0.467	3.7579	1.11E-01
0.468	3.767	1.00E-01
0.469	3.7732	9.01E-02
0.47	3.7772	7.99E-02
0.471	3.7813	6.97E-02
0.472	3.7854	5.48E-02
0.473	3.7894	4.80E-02
0.474	3.7935	4.12E-02
0.475	3.7976	3.45E-02
0.476	3.8017	2.77E-02
0.477	3.8052	2.10E-02
0.478	3.808	1.62E-02
0.479	3.8093	1.44E-02
0.48	3.805	1.27E-02
0.481	3.8006	1.09E-02
0.482	3.7963	9.19E-03
0.483	3.7919	7.43E-03
0.484	3.7875	5.68E-03
0.485	3.7831	5.18E-03
0.486	3.7786	4.69E-03
0.487	3.7741	4.19E-03
0.488	3.7696	3.69E-03
0.489	3.7651	3.20E-03
0.49	3.7605	2.70E-03
0.491	3.756	2.39E-03
0.492	3.7515	2.22E-03
0.493	3.7468	1.62E-03
0.494	3.7419	1.44E-03
0.495	3.7371	1.27E-03
0.496	3.7322	1.09E-03
0.497	3.7274	9.19E-04
0.498	3.7225	7.43E-04
0.499	3.7177	5.68E-04
0.5	3.7128	5.18E-04
0.501	3.7079	4.69E-04
0.502	3.7031	4.19E-04
0.503	3.6982	3.69E-04
0.504	3.6934	3.20E-04
0.505	3.6888	2.70E-04
0.506	3.6845	2.39E-04
0.507	3.6803	2.22E-04
0.508	3.676	1.62E-04
0.509	3.6717	1.44E-04
0.51	3.6674	1.27E-04
0.511	3.6632	1.09E-04
0.512	3.6589	9.19E-05
0.513	3.6546	7.43E-05
0.514	3.6504	5.68E-05
0.515	3.6461	5.18E-05
0.516	3.6418	4.69E-05
0.517	3.6376	4.19E-05
0.518	3.6341	3.69E-05
0.519	3.6306	3.20E-05
0.52	3.6272	2.70E-05
0.521	3.6238	2.39E-05
0.522	3.6204	2.22E-05
0.523	3.6169	1.62E-05
0.524	3.6135	1.44E-05
0.525	3.6101	1.27E-05
0.526	3.6066	1.09E-05
0.527	3.6032	9.19E-06
0.528	3.5998	7.43E-06
0.529	3.5965	5.68E-06
0.53	3.5935	5.18E-06
0.531	3.5905	4.69E-06
0.532	3.5874	4.19E-06
0.533	3.5844	3.69E-06
0.534	3.5814	3.20E-06
0.535	3.5783	2.70E-06
0.536	3.5753	2.39E-06
0.537	3.5723	2.22E-06
0.538	3.5693	1.62E-06
0.539	3.5662	1.44E-06
0.54	3.5632	1.27E-06
0.541	3.5602	1.09E-06
0.542	3.5571	0.00E+00
0.543	3.5541	0.00E+00
0.544	3.5511	0.00E+00
0.545	3.548	0.00E+00
0.546	3.545	0.00E+00
0.547	3.542	0.00E+00
0.548	3.539	0.00E+00
0.549	3.5361	0.00E+00
0.55	3.5334	0.00E+00
0.551	3.5306	0.00E+00
0.552	3.5279	0.00E+00
0.553	3.5251	0.00E+00
0.554	3.5223	0.00E+00
0.555	3.5196	0.00E+00
0.556	3.5168	0.00E+00
0.557	3.5141	0.00E+00
0.558	3.5113	0.00E+00
0.559	3.5086	0.00E+00
0.56	3.5058	0.00E+00
0.561	3.5031	0.00E+00
0.562	3.5003	0.00E+00
0.563	3.4975	0.00E+00
0.564	3.4948	0.00E+00
0.565	3.492	0.00E+00
0.566	3.4893	0.00E+00
0.567	3.4865	0.00E+00
0.568	3.4838	0.00E+00
0.569	3.481	0.00E+00
0.57	3.4792	0.00E+00
0.571	3.4773	0.00E+00
0.572	3.4755	0.00E+00
0.573	3.4737	0.00E+00
0.574	3.4719	0.00E+00
0.575	3.47	0.00E+00
0.576	3.4682	0.00E+00
0.577	3.4664	0.00E+00
0.578	3.4646	0.00E+00
0.579	3.4627	0.00E+00
0.58	3.4609	0.00E+00
0.581	3.4591	0.00E+00
0.582	3.4573	0.00E+00
0.583	3.4554	0.00E+00
0.584	3.4536	0.00E+00
0.585	3.4518	0.00E+00
0.586	3.45	0.00E+00
0.587	3.4481	0.00E+00
0.588	3.4463	0.00E+00
0.589	3.4445	0.00E+00
0.59	3.4427	0.00E+00
0.591	3.4408	0.00E+00
0.592	3.439	0.00E+00
0.593	3.4372	0.00E+00
0.594	3.4354	0.00E+00
0.595	3.4335	0.00E+00
0.596	3.4317	0.00E+00
0.597	3.4299	0.00E+00
0.598	3.4281	0.00E+00
0.599	3.4262	0.00E+00
0.6	3.4247	0.00E+00
0.601	3.4233	0.00E+00
0.602	3.4218	0.00E+00
0.603	3.4204	0.00E+00
0.604	3.4189	0.00E+00
0.605	3.4175	0.00E+00
0.606	3.416	0.00E+00
0.607	3.4146	0.00E+00
0.608	3.4131	0.00E+00
0.609	3.4117	0.00E+00
0.61	3.4102	0.00E+00
0.611	3.4087	0.00E+00
0.612	3.4073	0.00E+00
0.613	3.4058	0.00E+00
0.614	3.4044	0.00E+00
0.615	3.4029	0.00E+00
0.616	3.4015	0.00E+00
0.617	3.4	0.00E+00
0.618	3.3986	0.00E+00
0.619	3.3971	0.00E+00
0.62	3.3957	0.00E+00
0.621	3.3942	0.00E+00
0.622	3.3927	0.00E+00
0.623	3.3913	0.00E+00
0.624	3.3898	0.00E+00
0.625	3.3884	0.00E+00
0.626	3.3869	0.00E+00
0.627	3.3855	0.00E+00
0.628	3.384	0.00E+00
0.629	3.3826	0.00E+00
0.63	3.3811	0.00E+00
0.631	3.3799	0.00E+00
0.632	3.3789	0.00E+00
0.633	3.3778	0.00E+00
