wl(um)	n	k
0.4	4.373	2.146
0.401	4.389	2.1204
0.402	4.405	2.0948
0.403	4.4178	2.0722
0.404	4.4274	2.0526
0.405	4.4371	2.0329
0.406	4.4461	2.0164
0.407	4.4549	2.0006
0.408	4.4636	1.986
0.409	4.4713	1.976
0.41	4.4791	1.966
0.411	4.4876	1.9587
0.412	4.4969	1.954
0.413	4.5062	1.9494
0.414	4.5193	1.949
0.415	4.5339	1.9504
0.416	4.5485	1.9519
0.417	4.5744	1.9568
0.418	4.6016	1.9622
0.419	4.6306	1.9668
0.42	4.6767	1.9643
0.421	4.7227	1.9618
0.422	4.7718	1.9522
0.423	4.8276	1.9264
0.424	4.8835	1.9005
0.425	4.9356	1.8624
0.426	4.9822	1.8058
0.427	5.0287	1.7493
0.428	5.0612	1.689
0.429	5.0795	1.625
0.43	5.0978	1.561
0.431	5.1062	1.4997
0.432	5.1045	1.441
0.433	5.1028	1.3823
0.434	5.096	1.3293
0.435	5.0841	1.2819
0.436	5.0722	1.2345
0.437	5.0585	1.1908
0.438	5.0424	1.1527
0.439	5.0263	1.1146
0.44	5.0096	1.0786
0.441	4.9915	1.0473
0.442	4.9735	1.016
0.443	4.9554	0.98606
0.444	4.9376	0.96137
0.445	4.9198	0.93669
0.446	4.902	0.912
0.447	4.8842	0.89138
0.448	4.8664	0.87075
0.449	4.8486	0.85013
0.45	4.8324	0.83218
0.451	4.8166	0.81491
0.452	4.8009	0.79764
0.453	4.7851	0.78142
0.454	4.7694	0.76627
0.455	4.7536	0.75112
0.456	4.7382	0.73647
0.457	4.7244	0.72382
0.458	4.7106	0.71118
0.459	4.6968	0.69853
0.46	4.6834	0.68729
0.461	4.6702	0.67641
0.462	4.6569	0.66553
0.463	4.644	0.65523
0.464	4.6314	0.6458
0.465	4.6188	0.63637
0.466	4.6063	0.62694
0.467	4.5952	0.61803
0.468	4.5844	0.60917
0.469	4.5735	0.60031
0.47	4.5623	0.59211
0.471	4.5507	0.58489
0.472	4.539	0.57767
0.473	4.5273	0.57044
0.474	4.5179	0.56251
0.475	4.5089	0.55441
0.476	4.5	0.5463
0.477	4.491	0.53841
0.478	4.4813	0.53246
0.479	4.4716	0.52651
0.48	4.4618	0.52057
0.481	4.4524	0.51484
0.482	4.4435	0.50943
0.483	4.4346	0.50403
0.484	4.4257	0.49862
0.485	4.4173	0.49313
0.486	4.4091	0.48761
0.487	4.401	0.48208
0.488	4.3928	0.47655
0.489	4.3851	0.47185
0.49	4.3774	0.46723
0.491	4.3697	0.46262
0.492	4.362	0.458
0.493	4.3546	0.45364
0.494	4.3471	0.44928
0.495	4.3397	0.44492
0.496	4.3323	0.44062
0.497	4.3253	0.43688
0.498	4.3183	0.43312
0.499	4.3113	0.42938
0.5	4.3044	0.42563
0.501	4.298	0.42198
0.502	4.2917	0.41832
0.503	4.2853	0.41466
0.504	4.279	0.411
0.505	4.2729	0.40783
0.506	4.2668	0.40466
0.507	4.2607	0.40149
0.508	4.2546	0.39832
0.509	4.2486	0.39521
0.51	4.2427	0.39212
0.511	4.2367	0.38902
0.512	4.2308	0.38593
0.513	4.2251	0.38272
0.514	4.2195	0.37947
0.515	4.2139	0.37621
0.516	4.2083	0.37295
0.517	4.203	0.36988
0.518	4.1978	0.36709
0.519	4.1927	0.3643
0.52	4.1876	0.36151
0.521	4.1825	0.35873
0.522	4.1779	0.35607
0.523	4.1732	0.3534
0.524	4.1685	0.35073
0.525	4.1639	0.34807
0.526	4.1592	0.34567
0.527	4.1545	0.34344
0.528	4.1499	0.34122
0.529	4.1452	0.339
0.53	4.1405	0.33678
0.531	4.1359	0.33456
0.532	4.1312	0.33233
0.533	4.1265	0.33011
0.534	4.1219	0.32789
0.535	4.1174	0.32611
0.536	4.1132	0.32462
0.537	4.1089	0.32313
0.538	4.1047	0.32164
0.539	4.1004	0.32015
0.54	4.0966	0.3177
0.541	4.0927	0.31515
0.542	4.0889	0.3126
0.543	4.0851	0.31004
0.544	4.0812	0.30771
0.545	4.0773	0.30625
0.546	4.0733	0.30479
0.547	4.0693	0.30333
0.548	4.0654	0.30188
0.549	4.0615	0.30043
0.55	4.0579	0.299
0.551	4.0542	0.29757
0.552	4.0505	0.29614
0.553	4.0468	0.29471
0.554	4.0434	0.2931
0.555	4.0402	0.2913
0.556	4.037	0.2895
0.557	4.0338	0.2877
0.558	4.0306	0.2859
0.559	4.0274	0.28412
0.56	4.0243	0.28235
0.561	4.0212	0.28059
0.562	4.018	0.27882
0.563	4.0149	0.27706
0.564	4.0118	0.27522
0.565	4.0089	0.27325
0.566	4.0059	0.27129
0.567	4.003	0.26933
0.568	4.0001	0.26737
0.569	3.9972	0.26549
0.57	3.9943	0.26379
0.571	3.9915	0.26209
0.572	3.9887	0.2604
0.573	3.9858	0.2587
0.574	3.983	0.257
0.575	3.9802	0.25589
0.576	3.9774	0.25478
0.577	3.9747	0.25367
0.578	3.9719	0.25256
0.579	3.9691	0.25144
0.58	3.9664	0.25033
0.581	3.9639	0.24922
0.582	3.9613	0.24811
0.583	3.9587	0.247
0.584	3.9561	0.24589
0.585	3.9535	0.24482
0.586	3.951	0.24393
0.587	3.9485	0.24304
0.588	3.946	0.24214
0.589	3.9435	0.24125
0.59	3.941	0.24036
0.591	3.9386	0.23916
0.592	3.9364	0.23775
0.593	3.9341	0.23635
0.594	3.9318	0.23495
0.595	3.9295	0.23354
0.596	3.9272	0.23214
0.597	3.925	0.23138
0.598	3.9227	0.23069
0.599	3.9205	0.23
0.6	3.9183	0.22931
0.601	3.916	0.22862
0.602	3.9138	0.22792
0.603	3.9118	0.22707
0.604	3.9097	0.22622
0.605	3.9077	0.22537
0.606	3.9057	0.22453
0.607	3.9036	0.22368
0.608	3.9016	0.22267
0.609	3.8996	0.221
0.61	3.8976	0.21933
0.611	3.8956	0.21767
0.612	3.8936	0.216
0.613	3.8916	0.21433
0.614	3.8896	0.21293
0.615	3.8876	0.21261
0.616	3.8857	0.21228
0.617	3.8837	0.21195
0.618	3.8817	0.21162
0.619	3.8798	0.2113
0.62	3.8778	0.21087
0.621	3.8761	0.2096
0.622	3.8743	0.20833
0.623	3.8726	0.20706
0.624	3.8708	0.20579
0.625	3.8691	0.20452
0.626	3.8673	0.20325
0.627	3.8656	0.20213
0.628	3.8639	0.20103
0.629	3.8622	0.19994
0.63	3.8605	0.19884
0.631	3.8588	0.19775
0.632	3.857	0.19666
0.633	3.8554	0.19545
0.634	3.8538	0.19406
0.635	3.8523	0.19268
0.636	3.8508	0.19129
0.637	3.8492	0.18991
0.638	3.8477	0.18852
0.639	3.8462	0.18714
0.64	3.8447	0.18646
0.641	3.8432	0.18587
0.642	3.8417	0.18527
0.643	3.8402	0.18467
0.644	3.8387	0.18407
0.645	3.8372	0.18348
0.646	3.8357	0.18288
0.647	3.8342	0.18229
0.648	3.8328	0.18171
0.649	3.8313	0.18112
0.65	3.8298	0.18053
0.651	3.8284	0.17994
0.652	3.8269	0.17935
0.653	3.8255	0.17865
0.654	3.8242	0.17778
0.655	3.8229	0.17691
0.656	3.8216	0.17604
0.657	3.8203	0.17517
0.658	3.819	0.1743
0.659	3.8177	0.17343
0.66	3.8164	0.173
0.661	3.8153	0.173
0.662	3.8142	0.173
0.663	3.8131	0.173
0.664	3.8119	0.173
0.665	3.8108	0.173
0.666	3.8097	0.173
0.667	3.8084	0.17272
0.668	3.8071	0.17203
0.669	3.8057	0.17133
0.67	3.8043	0.17064
0.671	3.8029	0.16994
0.672	3.8015	0.16925
0.673	3.8001	0.16856
0.674	3.7988	0.16773
0.675	3.7979	0.16638
0.676	3.7969	0.16503
0.677	3.796	0.16368
0.678	3.795	0.16232
0.679	3.7941	0.16097
0.68	3.7931	0.15962
0.681	3.7922	0.15827
0.682	3.7913	0.15726
0.683	3.7903	0.15634
0.684	3.7894	0.15542
0.685	3.7885	0.1545
0.686	3.7876	0.15358
0.687	3.7867	0.15266
0.688	3.7857	0.15174
0.689	3.7848	0.15103
0.69	3.7841	0.15116
0.691	3.7833	0.15129
0.692	3.7825	0.15142
0.693	3.7817	0.15155
0.694	3.7809	0.15168
0.695	3.7802	0.15181
0.696	3.7794	0.15194
0.697	3.7786	0.15087
0.698	3.7777	0.14863
0.699	3.7768	0.14637
0.7	3.7759	0.14413
0.701	3.7751	0.14187
0.702	3.7742	0.13963
0.703	3.7733	0.13737
0.704	3.7724	0.13513
0.705	3.7714	0.13357
0.706	3.7701	0.1327
0.707	3.7689	0.13184
0.708	3.7677	0.13098
0.709	3.7664	0.13011
0.71	3.7652	0.12925
0.711	3.764	0.12838
0.712	3.7627	0.12752
0.713	3.7615	0.12656
0.714	3.7603	0.12546
0.715	3.7591	0.12437
0.716	3.7579	0.12327
0.717	3.7566	0.12217
0.718	3.7554	0.12107
0.719	3.7542	0.11998
0.72	3.753	0.11888
0.721	3.7518	0.11786
0.722	3.7506	0.11715
0.723	3.7494	0.11645
0.724	3.7482	0.11574
0.725	3.7471	0.11504
0.726	3.7459	0.11433
0.727	3.7447	0.11362
0.728	3.7435	0.11292
0.729	3.7424	0.11221
0.73	3.7414	0.11144
0.731	3.7404	0.11063
0.732	3.7395	0.10983
0.733	3.7386	0.10902
0.734	3.7377	0.10822
0.735	3.7368	0.10741
0.736	3.7358	0.10661
0.737	3.7349	0.1058
0.738	3.734	0.105
0.739	3.733	0.10455
0.74	3.732	0.1041
0.741	3.731	0.10365
0.742	3.73	0.1032
0.743	3.7289	0.10275
0.744	3.7279	0.1023
0.745	3.7269	0.10185
0.746	3.7259	0.1014
0.747	3.7249	0.10096
0.748	3.7239	0.10052
0.749	3.7229	0.10008
0.75	3.7219	0.099637
0.751	3.7209	0.099198
0.752	3.72	0.098758
0.753	3.719	0.098319
0.754	3.718	0.097879
0.755	3.717	0.09744
0.756	3.716	0.097
0.757	3.715	0.09657
0.758	3.7141	0.09614
0.759	3.7131	0.09571
0.76	3.7121	0.09528
0.761	3.7112	0.094849
0.762	3.7102	0.094419
0.763	3.7092	0.093989
0.764	3.7083	0.093559
0.765	3.7073	0.093129
0.766	3.7065	0.092854
0.767	3.7058	0.092646
0.768	3.705	0.092438
0.769	3.7043	0.092229
0.77	3.7036	0.092021
0.771	3.7028	0.091813
0.772	3.7021	0.091604
0.773	3.7014	0.091396
0.774	3.7007	0.091188
0.775	3.6999	0.09098
0.776	3.6992	0.090776
0.777	3.6985	0.090571
0.778	3.6978	0.090367
0.779	3.6971	0.090163
0.78	3.6964	0.089959
0.781	3.6956	0.089755
0.782	3.6949	0.089551
0.783	3.6942	0.089347
0.784	3.6935	0.089143
0.785	3.6928	0.088941
0.786	3.692	0.088743
0.787	3.6912	0.088545
0.788	3.6904	0.088347
0.789	3.6896	0.088149
0.79	3.6888	0.08795
0.791	3.688	0.087752
0.792	3.6872	0.087554
0.793	3.6864	0.087356
0.794	3.6856	0.087158
0.795	3.6849	0.086961
0.796	3.6843	0.086767
0.797	3.6837	0.086573
0.798	3.6831	0.086379
0.799	3.6826	0.086184
0.8	3.682	0.08599
0.801	3.6814	0.085796
0.802	3.6808	0.085602
0.803	3.6802	0.085408
0.804	3.6796	0.085214
0.805	3.6791	0.085019
0.806	3.6784	0.08483
0.807	3.6777	0.084642
0.808	3.6771	0.084453
0.809	3.6764	0.084264
0.81	3.6758	0.084075
0.811	3.6751	0.083887
0.812	3.6744	0.083698
0.813	3.6738	0.083509
0.814	3.6731	0.083321
0.815	3.6725	0.083132
0.816	3.6718	0.082917
0.817	3.6713	0.082642
0.818	3.6707	0.082367
0.819	3.6702	0.082092
0.82	3.6696	0.081817
0.821	3.6691	0.081541
0.822	3.6685	0.081266
0.823	3.668	0.080991
0.824	3.6674	0.080716
0.825	3.6669	0.08044
0.826	3.6663	0.080165
0.827	3.6656	0.079476
0.828	3.6645	0.078167
0.829	3.6635	0.076858
0.83	3.6624	0.075549
0.831	3.6614	0.07424
0.832	3.6603	0.072931
0.833	3.6592	0.072125
0.834	3.6582	0.071375
0.835	3.6571	0.070625
0.836	3.6561	0.069875
0.837	3.655	0.069125
0.838	3.654	0.068484
0.839	3.6529	0.068098
0.84	3.6518	0.067712
0.841	3.6508	0.067326
0.842	3.6497	0.06694
0.843	3.6487	0.066554
0.844	3.6476	0.066028
0.845	3.6466	0.065407
0.846	3.6455	0.064786
0.847	3.6444	0.064166
0.848	3.6434	0.063545
0.849	3.6423	0.062924
0.85	3.6413	0.062583
0.851	3.6402	0.062312
0.852	3.6392	0.062041
0.853	3.6381	0.061769
0.854	3.637	0.061498
0.855	3.636	0.061227
0.856	3.6349	0.060529
0.857	3.6339	0.059783
0.858	3.6328	0.059037
0.859	3.6318	0.058292
0.86	3.6307	0.057546
0.861	3.6297	0.0568
0.862	3.6286	0.056433
0.863	3.6275	0.056067
0.864	3.6265	0.0557
0.865	3.6254	0.0562
0.866	3.6244	0.0567
0.867	3.6233	0.0572
0.868	3.6223	0.0566
0.869	3.6212	0.056
