wl(um)	n	k
0.4	4.3587	2.1542
0.401	4.3771	2.1306
0.402	4.3935	2.1075
0.403	4.408	2.085
0.404	4.4208	2.0636
0.405	4.432	2.0433
0.406	4.4417	2.0245
0.407	4.4503	2.0073
0.408	4.458	1.9921
0.409	4.4652	1.979
0.41	4.4722	1.9683
0.411	4.4795	1.9601
0.412	4.4877	1.9544
0.413	4.4974	1.9513
0.414	4.5093	1.9507
0.415	4.5242	1.9522
0.416	4.5428	1.9555
0.417	4.5661	1.9596
0.418	4.5945	1.9637
0.419	4.6286	1.9662
0.42	4.6684	1.9658
0.421	4.7135	1.9606
0.422	4.7629	1.9489
0.423	4.8151	1.9295
0.424	4.8679	1.9014
0.425	4.9192	1.8645
0.426	4.9667	1.8194
0.427	5.0085	1.7673
0.428	5.0434	1.7099
0.429	5.0705	1.6492
0.43	5.09	1.5869
0.431	5.102	1.5248
0.432	5.1075	1.4641
0.433	5.1074	1.4058
0.434	5.1024	1.3504
0.435	5.0937	1.2982
0.436	5.082	1.2494
0.437	5.068	1.204
0.438	5.0523	1.1618
0.439	5.0354	1.1226
0.44	5.0177	1.0862
0.441	4.9994	1.0524
0.442	4.9809	1.021
0.443	4.9622	0.99175
0.444	4.9436	0.96444
0.445	4.9251	0.9389
0.446	4.9068	0.91498
0.447	4.8887	0.89252
0.448	4.871	0.87138
0.449	4.8535	0.85146
0.45	4.8365	0.83263
0.451	4.8197	0.81482
0.452	4.8033	0.79792
0.453	4.7873	0.78188
0.454	4.7716	0.76661
0.455	4.7563	0.75206
0.456	4.7413	0.73818
0.457	4.7267	0.72492
0.458	4.7123	0.71222
0.459	4.6983	0.70006
0.46	4.6846	0.6884
0.461	4.6712	0.6772
0.462	4.6581	0.66643
0.463	4.6452	0.65607
0.464	4.6326	0.64609
0.465	4.6203	0.63647
0.466	4.6083	0.62719
0.467	4.5965	0.61823
0.468	4.5849	0.60958
0.469	4.5735	0.6012
0.47	4.5624	0.5931
0.471	4.5515	0.58526
0.472	4.5408	0.57766
0.473	4.5304	0.57029
0.474	4.5201	0.56314
0.475	4.51	0.55621
0.476	4.5001	0.54947
0.477	4.4903	0.54292
0.478	4.4808	0.53656
0.479	4.4714	0.53037
0.48	4.4622	0.52434
0.481	4.4531	0.51848
0.482	4.4443	0.51276
0.483	4.4355	0.5072
0.484	4.4269	0.50177
0.485	4.4185	0.49647
0.486	4.4102	0.49131
0.487	4.402	0.48627
0.488	4.394	0.48135
0.489	4.3861	0.47654
0.49	4.3783	0.47184
0.491	4.3707	0.46725
0.492	4.3632	0.46275
0.493	4.3558	0.45836
0.494	4.3485	0.45406
0.495	4.3413	0.44985
0.496	4.3343	0.44573
0.497	4.3273	0.44169
0.498	4.3205	0.43773
0.499	4.3137	0.43385
0.5	4.3071	0.43005
0.501	4.3005	0.42631
0.502	4.2941	0.42265
0.503	4.2877	0.41906
0.504	4.2815	0.41553
0.505	4.2753	0.41207
0.506	4.2692	0.40867
0.507	4.2632	0.40532
0.508	4.2573	0.40204
0.509	4.2514	0.39881
0.51	4.2457	0.39563
0.511	4.24	0.39251
0.512	4.2344	0.38943
0.513	4.2288	0.38641
0.514	4.2234	0.38343
0.515	4.218	0.3805
0.516	4.2127	0.37761
0.517	4.2074	0.37477
0.518	4.2023	0.37197
0.519	4.1971	0.3692
0.52	4.1921	0.36648
0.521	4.1871	0.3638
0.522	4.1822	0.36116
0.523	4.1773	0.35855
0.524	4.1725	0.35597
0.525	4.1677	0.35344
0.526	4.163	0.35093
0.527	4.1584	0.34846
0.528	4.1538	0.34602
0.529	4.1492	0.34361
0.53	4.1448	0.34123
0.531	4.1403	0.33888
0.532	4.1359	0.33656
0.533	4.1316	0.33427
0.534	4.1273	0.33201
0.535	4.123	0.32977
0.536	4.1188	0.32757
0.537	4.1147	0.32538
0.538	4.1106	0.32322
0.539	4.1065	0.32109
0.54	4.1025	0.31898
0.541	4.0985	0.3169
0.542	4.0945	0.31484
0.543	4.0906	0.31281
0.544	4.0867	0.31079
0.545	4.0829	0.3088
0.546	4.0791	0.30683
0.547	4.0753	0.30489
0.548	4.0716	0.30296
0.549	4.0679	0.30106
0.55	4.0643	0.29917
0.551	4.0606	0.29731
0.552	4.0571	0.29547
0.553	4.0535	0.29365
0.554	4.05	0.29184
0.555	4.0465	0.29006
0.556	4.043	0.2883
0.557	4.0396	0.28655
0.558	4.0362	0.28483
0.559	4.0328	0.28312
0.56	4.0295	0.28144
0.561	4.0261	0.27977
0.562	4.0229	0.27812
0.563	4.0196	0.27648
0.564	4.0164	0.27487
0.565	4.0132	0.27327
0.566	4.01	0.27169
0.567	4.0068	0.27013
0.568	4.0037	0.26859
0.569	4.0006	0.26706
0.57	3.9975	0.26555
0.571	3.9945	0.26406
0.572	3.9914	0.26258
0.573	3.9884	0.26112
0.574	3.9855	0.25968
0.575	3.9825	0.25825
0.576	3.9796	0.25684
0.577	3.9767	0.25544
0.578	3.9738	0.25406
0.579	3.9709	0.2527
0.58	3.9681	0.25135
0.581	3.9653	0.25002
0.582	3.9625	0.24871
0.583	3.9597	0.24741
0.584	3.9569	0.24612
0.585	3.9542	0.24485
0.586	3.9515	0.2436
0.587	3.9488	0.24236
0.588	3.9462	0.24113
0.589	3.9435	0.23992
0.59	3.9409	0.23872
0.591	3.9383	0.23754
0.592	3.9357	0.23637
0.593	3.9332	0.23522
0.594	3.9306	0.23408
0.595	3.9281	0.23295
0.596	3.9256	0.23184
0.597	3.9231	0.23074
0.598	3.9207	0.22965
0.599	3.9183	0.22858
0.6	3.9158	0.22752
0.601	3.9135	0.22647
0.602	3.9111	0.22544
0.603	3.9087	0.22441
0.604	3.9064	0.2234
0.605	3.9041	0.22241
0.606	3.9018	0.22142
0.607	3.8995	0.22044
0.608	3.8973	0.21948
0.609	3.895	0.21853
0.61	3.8928	0.21759
0.611	3.8906	0.21666
0.612	3.8885	0.21574
0.613	3.8863	0.21483
0.614	3.8842	0.21393
0.615	3.8821	0.21304
0.616	3.88	0.21216
0.617	3.8779	0.21129
0.618	3.8758	0.21043
0.619	3.8738	0.20958
0.62	3.8718	0.20874
0.621	3.8698	0.20791
0.622	3.8678	0.20708
0.623	3.8659	0.20627
0.624	3.8639	0.20546
0.625	3.862	0.20465
0.626	3.8601	0.20386
0.627	3.8582	0.20307
0.628	3.8563	0.20229
0.629	3.8545	0.20152
0.63	3.8527	0.20075
0.631	3.8509	0.19999
0.632	3.8491	0.19923
0.633	3.8473	0.19848
0.634	3.8456	0.19774
0.635	3.8438	0.197
0.636	3.8421	0.19626
0.637	3.8404	0.19553
0.638	3.8387	0.1948
0.639	3.8371	0.19408
0.64	3.8354	0.19336
0.641	3.8338	0.19264
0.642	3.8322	0.19193
0.643	3.8306	0.19122
0.644	3.829	0.19051
0.645	3.8275	0.1898
0.646	3.8259	0.1891
0.647	3.8244	0.18839
0.648	3.8229	0.18769
0.649	3.8214	0.18699
0.65	3.8199	0.18629
0.651	3.8185	0.18559
0.652	3.817	0.18489
0.653	3.8156	0.18418
0.654	3.8142	0.18348
0.655	3.8128	0.18278
0.656	3.8114	0.18208
0.657	3.81	0.18137
0.658	3.8086	0.18067
0.659	3.8073	0.17996
0.66	3.806	0.17925
0.661	3.8047	0.17854
0.662	3.8033	0.17783
0.663	3.8021	0.17711
0.664	3.8008	0.17639
0.665	3.7995	0.17567
0.666	3.7983	0.17494
0.667	3.797	0.17422
0.668	3.7958	0.17348
0.669	3.7946	0.17275
0.67	3.7933	0.17201
0.671	3.7921	0.17126
0.672	3.7909	0.17051
0.673	3.7898	0.16976
0.674	3.7886	0.169
0.675	3.7874	0.16824
0.676	3.7863	0.16748
0.677	3.7851	0.1667
0.678	3.784	0.16593
0.679	3.7828	0.16515
0.68	3.7817	0.16436
0.681	3.7806	0.16357
0.682	3.7795	0.16277
0.683	3.7784	0.16197
0.684	3.7773	0.16117
0.685	3.7762	0.16036
0.686	3.7751	0.15954
0.687	3.774	0.15872
0.688	3.7729	0.15789
0.689	3.7718	0.15706
0.69	3.7707	0.15622
0.691	3.7696	0.15538
0.692	3.7686	0.15454
0.693	3.7675	0.15369
0.694	3.7664	0.15283
0.695	3.7653	0.15197
0.696	3.7643	0.15111
0.697	3.7632	0.15024
0.698	3.7621	0.14937
0.699	3.761	0.1485
0.7	3.76	0.14762
0.701	3.7589	0.14674
0.702	3.7578	0.14585
0.703	3.7567	0.14496
0.704	3.7557	0.14407
0.705	3.7546	0.14318
0.706	3.7535	0.14229
0.707	3.7524	0.14139
0.708	3.7513	0.14049
0.709	3.7502	0.13959
0.71	3.7491	0.13869
0.711	3.7481	0.13779
0.712	3.747	0.13688
0.713	3.7458	0.13598
0.714	3.7447	0.13508
0.715	3.7436	0.13418
0.716	3.7425	0.13327
0.717	3.7414	0.13237
0.718	3.7403	0.13147
0.719	3.7391	0.13057
0.72	3.738	0.12968
0.721	3.7369	0.12878
0.722	3.7357	0.12789
0.723	3.7346	0.127
0.724	3.7334	0.12611
0.725	3.7323	0.12523
0.726	3.7311	0.12435
0.727	3.7299	0.12347
0.728	3.7287	0.1226
0.729	3.7276	0.12174
0.73	3.7264	0.12087
0.731	3.7252	0.12002
0.732	3.724	0.11917
0.733	3.7228	0.11832
0.734	3.7216	0.11748
0.735	3.7204	0.11665
0.736	3.7192	0.11582
0.737	3.7179	0.115
0.738	3.7167	0.11419
0.739	3.7155	0.11339
0.74	3.7143	0.11259
0.741	3.713	0.1118
0.742	3.7118	0.11102
0.743	3.7105	0.11025
0.744	3.7093	0.10949
0.745	3.708	0.10873
0.746	3.7068	0.10799
0.747	3.7055	0.10726
0.748	3.7042	0.10653
0.749	3.703	0.10582
