wavelength (nm),SiNx ARC,AlInP window,GaAs emitter,QD,GaAs base,AlInP BSF,Ag mirror,GaAs,Active region,Total
400,9.4182474e-06,0.0066330599,0.016638601,-3.159124e-05,-6.5458189e-06,-2.285132e-17,-6.3057995e-17,0.016632507,0.016591359,0.023238638
401,9.8293805e-06,0.0069970453,0.01761191,-6.4577155e-05,-1.3051143e-05,-4.4950885e-17,-1.2383881e-16,0.017599384,0.017516343,0.024535487
402,9.5019401e-06,0.0068327477,0.017261402,-9.1295016e-05,-1.8062887e-05,-6.1350123e-17,-1.6872772e-16,0.017243535,0.017127518,0.023990567
403,9.6937883e-06,0.0070375784,0.017848281,-0.00012084672,-2.3432205e-05,-7.8444819e-17,-2.1535137e-16,0.017824399,0.017672585,0.024751904
404,9.4924056e-06,0.0069535528,0.017708399,-0.00014373876,-2.7329825e-05,-9.0132756e-17,-2.4696474e-16,0.017679703,0.017501162,0.024507626
405,9.293878e-06,0.0068656906,0.017561691,-0.0001638885,-3.056842e-05,-9.9259463e-17,-2.714226e-16,0.017528633,0.017327322,0.024257785
406,9.1622594e-06,0.0068218854,0.01753111,-0.00018268455,-3.3437924e-05,-1.0684036e-16,-2.9152776e-16,0.017493872,0.017271935,0.02417141
407,9.6038059e-06,0.0072030947,0.018602163,-0.00021180985,-3.8057464e-05,-1.1958073e-16,-3.25552e-16,0.018558526,0.018304001,0.0256036
408,1.0296759e-05,0.0077751888,0.020184319,-0.00024691606,-4.356553e-05,-1.3452432e-16,-3.6535366e-16,0.020132896,0.019839378,0.027734916
409,8.8103622e-06,0.0066942302,0.017473713,-0.00022653667,-3.9262841e-05,-1.1906072e-16,-3.2252817e-16,0.017426011,0.017159592,0.023971583
410,9.8990795e-06,0.0075641658,0.019858784,-0.00026975637,-4.5943476e-05,-1.3671362e-16,-3.6933784e-16,0.019801336,0.019487448,0.027200717
411,1.0560921e-05,0.0081113089,0.021424876,-0.00030196482,-5.0558043e-05,-1.4751265e-16,-3.9734977e-16,0.021359821,0.021012152,0.029300429
412,1.0167728e-05,0.00784513,0.020854279,-0.00030235712,-4.9788135e-05,-1.4231197e-16,-3.8214396e-16,0.020788357,0.020443878,0.028476409
413,1.009336e-05,0.0078192202,0.020924795,-0.00030968399,-5.0177307e-05,-1.4037771e-16,-3.7568672e-16,0.020856438,0.020507284,0.02852904
414,1.0484023e-05,0.0081502619,0.02196395,-0.00032947333,-5.2556803e-05,-1.4376857e-16,-3.8337401e-16,0.021890286,0.021522673,0.029899862
415,1.0833863e-05,0.0084470897,0.022931311,-0.00034634096,-5.4425377e-05,-1.4541759e-16,-3.862623e-16,0.02285283,0.022470396,0.03116829
416,1.0601643e-05,0.0082859244,0.022666839,-0.00034250773,-5.3059646e-05,-1.3831212e-16,-3.6584115e-16,0.022588124,0.022213834,0.030760187
417,1.0174608e-05,0.0079669586,0.021969478,-0.00033007396,-5.0449464e-05,-1.2814226e-16,-3.3739123e-16,0.021892478,0.021535512,0.029765722
418,1.062481e-05,0.0083303882,0.02316447,-0.00034391313,-5.1910937e-05,-1.283066e-16,-3.3614015e-16,0.023082955,0.022714887,0.031332785
419,9.7669114e-06,0.007663573,0.021496868,-0.00031341654,-4.677171e-05,-1.1232893e-16,-2.9267693e-16,0.0214213,0.021089378,0.029027502
420,1.1128261e-05,0.0087335445,0.024721916,-0.00035167615,-5.1955742e-05,-1.2105071e-16,-3.1351249e-16,0.02463554,0.024267032,0.033323398
421,1.1010867e-05,0.0086383575,0.024685155,-0.00034029221,-4.9850174e-05,-1.124784e-16,-2.8938478e-16,0.024599868,0.024247106,0.033212957
422,1.0694628e-05,0.0083825619,0.024191599,-0.00032081442,-4.6691503e-05,-1.0183097e-16,-2.6006931e-16,0.024109378,0.023780438,0.03248702
423,1.0668152e-05,0.0083493785,0.024344451,-0.0003080838,-4.465445e-05,-9.3936665e-17,-2.3794438e-16,0.0242635,0.023951153,0.032627618
424,1.1027704e-05,0.0086129776,0.025382671,-0.00030378552,-4.398263e-05,-8.9037991e-17,-2.234633e-16,0.025300567,0.024996152,0.033948981
425,1.0747561e-05,0.008371965,0.024947968,-0.0002794657,-4.0572102e-05,-7.8837747e-17,-1.9580687e-16,0.024869953,0.024593316,0.033295861
426,1.0413665e-05,0.0080856068,0.024374493,-0.00025246441,-3.6936538e-05,-6.8697739e-17,-1.6860076e-16,0.024301304,0.024054632,0.032457545
427,1.0545816e-05,0.0081567794,0.02488597,-0.00023484641,-3.4857916e-05,-6.1857917e-17,-1.4974431e-16,0.024814756,0.024588533,0.033061063
428,9.7929077e-06,0.0075407228,0.023295173,-0.0001966276,-2.98835e-05,-5.0420049e-17,-1.2012038e-16,0.023232185,0.023045773,0.030872051
429,7.8342674e-06,0.0060019249,0.018783302,-0.0001384389,-2.1830856e-05,-3.4883015e-17,-8.1553419e-17,0.018735785,0.018606968,0.024829153
430,7.1308789e-06,0.0054318575,0.017229671,-0.00010728701,-1.7910068e-05,-2.6984418e-17,-6.1679829e-17,0.017189367,0.017091839,0.022714782
431,1.1893662e-05,0.0090022276,0.02895694,-0.00014511609,-2.649599e-05,-3.7460584e-17,-8.330319e-17,0.02889519,0.028767446,0.038069331
432,1.1095024e-05,0.0083387459,0.027215288,-0.00010137804,-2.1479941e-05,-2.8349806e-17,-6.0918871e-17,0.027163318,0.027078584,0.035675827
433,1.027625e-05,0.0076638428,0.025392938,-6.0146449e-05,-1.6826506e-05,-2.0622718e-17,-4.2409853e-17,0.025350515,0.025305612,0.033186267
434,1.1300463e-05,0.0083568104,0.028126496,-2.6526884e-05,-1.5063422e-05,-1.7068303e-17,-3.3108569e-17,0.028086676,0.028076044,0.036642871
435,1.2426546e-05,0.00910565,0.031150136,1.7151015e-05,-1.2720876e-05,-1.3315911e-17,-2.3804568e-17,0.031114468,0.031147354,0.040448705
436,1.2715744e-05,0.0092255489,0.03209902,6.7783615e-05,-9.0337075e-06,-8.8479538e-18,-1.3990434e-17,0.032071462,0.032152708,0.041538232
437,1.118741e-05,0.0080303177,0.028436219,0.00010633501,-4.4094956e-06,-4.3466861e-18,-5.5847636e-18,0.028420398,0.028535468,0.036667282
438,1.0789297e-05,0.0076559624,0.027610917,0.00015001015,-8.1683136e-07,-1.6712743e-18,-1.3763025e-18,0.02760433,0.027758967,0.035471195
439,1.2397284e-05,0.0086890887,0.031938459,0.00022969296,3.0253017e-06,2.6326614e-29,5.5040549e-30,0.031941485,0.032171178,0.040872664
440,1.2253653e-05,0.0084688307,0.031780785,0.00028729894,7.4739564e-06,3.7970231e-18,9.9219301e-18,0.031795629,0.032076807,0.040508067
441,1.3144202e-05,0.0089357852,0.034324691,0.00037743457,1.4002305e-05,1.3179629e-17,4.1786566e-17,0.034355497,0.034719057,0.043569402
442,1.335897e-05,0.0089118512,0.035129391,0.00045844005,2.1466585e-05,2.7590164e-17,9.3816302e-17,0.035177852,0.035614114,0.044401134
443,1.3043777e-05,0.0085186289,0.03454369,0.00052482163,2.9110285e-05,4.5456385e-17,1.5988831e-16,0.034609559,0.035104309,0.043471115
444,1.3565161e-05,0.0086526875,0.03618192,0.00063015133,3.9838465e-05,7.120656e-17,2.5508069e-16,0.03627142,0.036861092,0.045331666
445,1.2185463e-05,0.0075739825,0.032736713,0.00064529162,4.532129e-05,8.9518114e-17,3.2393391e-16,0.032837351,0.033437697,0.040832071
446,1.3878636e-05,0.0083865799,0.037556336,0.00082892287,6.3513759e-05,1.3551936e-16,4.929796e-16,0.037695413,0.03846311,0.046632901
447,1.4068268e-05,0.0082457991,0.038346859,0.00093906635,7.7450923e-05,1.7575391e-16,6.4069611e-16,0.038513884,0.039380552,0.047399798
448,1.4057586e-05,0.0079735023,0.038597105,0.0010404533,9.1425822e-05,2.1818003e-16,7.9531777e-16,0.038791127,0.03974884,0.047494255
449,1.4594306e-05,0.0079918983,0.040362437,0.0011894541,0.00011046051,2.7490757e-16,1.0004765e-15,0.040592998,0.041685786,0.049443898
450,1.5157941e-05,0.0079947015,0.042225302,0.0013520828,0.00013184579,3.4001209e-16,1.2339283e-15,0.042495872,0.043736499,0.051495969
451,1.4531187e-05,0.0073638879,0.040771305,0.0014109101,0.0001437055,3.8209021e-16,1.3814285e-15,0.041061164,0.04235484,0.049504294
452,1.3437447e-05,0.0065266817,0.037972381,0.0014132857,0.00014969832,4.08722e-16,1.4710441e-15,0.038269073,0.039564625,0.045906336
453,1.4432035e-05,0.0067014843,0.041072117,0.0016369732,0.00017965958,5.0206697e-16,1.7977005e-15,0.041421898,0.042922798,0.049442797
454,1.4345619e-05,0.0063518028,0.041112403,0.0017478186,0.00019814317,5.6522577e-16,2.0123259e-15,0.041491245,0.04309471,0.049285602
455,1.4834593e-05,0.0062462322,0.042807894,0.0019343286,0.00022590949,6.5634824e-16,2.3223271e-15,0.043231944,0.045008166,0.051110215
