wavelength (nm),SiNx ARC,AlInP window,GaAs emitter,QD,GaAs base,AlInP BSF,Ag mirror,GaAs,Active region,Total
400,1.4221123e-05,0.010015617,0.025123527,-4.7701329e-05,-9.8838875e-06,-3.450445e-17,-9.5214693e-17,0.025114326,0.025052195,0.035089281
401,1.4783597e-05,0.010523705,0.026488686,-9.7125412e-05,-1.9629196e-05,-6.7607086e-17,-1.8625619e-16,0.026469847,0.026344951,0.036901893
402,1.4236955e-05,0.010237648,0.025863119,-0.00013678923,-2.7064001e-05,-9.1922169e-17,-2.5280826e-16,0.025836348,0.025662517,0.035945567
403,1.448195e-05,0.010513728,0.026664283,-0.00018053789,-3.5006336e-05,-1.1719195e-16,-3.2172229e-16,0.026628603,0.026401802,0.036977889
404,1.4142538e-05,0.010359954,0.026383376,-0.0002141534,-4.0718139e-05,-1.3428692e-16,-3.6794765e-16,0.026340623,0.026074618,0.036513404
405,1.3791396e-05,0.010188154,0.026060192,-0.00024319786,-4.5361172e-05,-1.4729337e-16,-4.0277016e-16,0.026011136,0.025712407,0.035996678
406,1.3544788e-05,0.010084957,0.02591666,-0.00027006695,-4.9432084e-05,-1.5794466e-16,-4.3097247e-16,0.02586161,0.025533516,0.035733174
407,1.4171327e-05,0.01062885,0.027449258,-0.00031254554,-5.61574e-05,-1.7645271e-16,-4.8038288e-16,0.027384867,0.027009291,0.037780542
408,1.5145002e-05,0.011436147,0.029688132,-0.0003631768,-6.4078416e-05,-1.9786527e-16,-5.3738091e-16,0.029612496,0.029180774,0.040793938
409,1.2915142e-05,0.0098130966,0.025614781,-0.00033208094,-5.7555543e-05,-1.7453155e-16,-4.7279523e-16,0.025544853,0.025154309,0.035140032
410,1.4463215e-05,0.01105175,0.029015006,-0.00039413203,-6.7126479e-05,-1.9974771e-16,-5.3962718e-16,0.028931071,0.02847246,0.03974206
411,1.5369957e-05,0.011804886,0.031180939,-0.00043946795,-7.3580227e-05,-2.1468422e-16,-5.7828753e-16,0.031086259,0.030580276,0.042642715
412,1.4772127e-05,0.011397753,0.030298021,-0.00043927784,-7.2334412e-05,-2.0675715e-16,-5.551957e-16,0.030202248,0.029701773,0.041371791
413,1.4612445e-05,0.011320107,0.03029342,-0.00044833832,-7.2643114e-05,-2.032288e-16,-5.4389234e-16,0.030194458,0.029688978,0.041302302
