wavelength (nm),SiNx ARC,AlInP window,GaAs emitter,QD,GaAs base,AlInP BSF,Ag mirror,GaAs,Active region,Total
400,7.1179482e-06,0.0050130109,0.012574813,-2.3875441e-05,-4.9470775e-06,-1.7270147e-17,-4.7656801e-17,0.012570207,0.01253911,0.017562866
401,7.447787e-06,0.0053017078,0.013344661,-4.8930541e-05,-9.8889377e-06,-3.4059585e-17,-9.3833487e-17,0.013335171,0.013272249,0.018590702
402,7.2175634e-06,0.0051900758,0.013111561,-6.9346634e-05,-1.372036e-05,-4.6600841e-17,-1.2816362e-16,0.013097989,0.013009864,0.018222956
403,7.3805371e-06,0.0053581847,0.013589105,-9.2008785e-05,-1.7840523e-05,-5.972535e-17,-1.6396158e-16,0.013570921,0.013455335,0.0188453
404,7.2443605e-06,0.0053067731,0.013514596,-0.00010969774,-2.0857422e-05,-6.8787008e-17,-1.8847716e-16,0.013492696,0.013356438,0.018703592
405,7.1091089e-06,0.0052517304,0.013433356,-0.00012536222,-2.3382513e-05,-7.592593e-17,-2.0761762e-16,0.013408069,0.013254082,0.018555358
406,7.0254237e-06,0.0052308752,0.013442479,-0.00014007859,-2.5639482e-05,-8.192289e-17,-2.2353722e-16,0.013413925,0.013243749,0.018534118
407,7.3807675e-06,0.0055357603,0.014296233,-0.00016278122,-2.9248123e-05,-9.190081e-17,-2.5019494e-16,0.014262696,0.014067087,0.019677013
408,7.9297355e-06,0.0059878247,0.015544338,-0.00019015488,-3.3550665e-05,-1.0359981e-16,-2.8136599e-16,0.015504736,0.015278692,0.021359201
409,6.7987258e-06,0.0051657622,0.013484007,-0.00017481242,-3.0298106e-05,-9.1876041e-17,-2.4888655e-16,0.013447196,0.013241608,0.018498243
410,7.6549621e-06,0.0058493723,0.015356805,-0.00020860271,-3.5528108e-05,-1.057207e-16,-2.8560909e-16,0.015312381,0.015069651,0.021034325
411,8.1831478e-06,0.0062850618,0.016601103,-0.00023397796,-3.9174988e-05,-1.1430043e-16,-3.0788716e-16,0.016550694,0.016281303,0.022703489
412,7.8949171e-06,0.0060914934,0.016192683,-0.00023477067,-3.86589e-05,-1.1050071e-16,-2.967226e-16,0.016141497,0.01587402,0.022111024
413,7.8529106e-06,0.0060835673,0.016280063,-0.00024094262,-3.9039318e-05,-1.092177e-16,-2.9229455e-16,0.016226879,0.015955228,0.022196374
414,8.1738263e-06,0.0063543187,0.017124105,-0.00025687254,-4.0975699e-05,-1.1208858e-16,-2.98896e-16,0.017066673,0.016780065,0.023311306
415,8.4642127e-06,0.0065994895,0.017915632,-0.00027058711,-4.2521119e-05,-1.1361095e-16,-3.017766e-16,0.017854316,0.017555531,0.024350968
416,8.3001429e-06,0.0064871412,0.017746117,-0.00026815306,-4.1540979e-05,-1.0828608e-16,-2.8642106e-16,0.01768449,0.017391455,0.024082488
417,7.9821038e-06,0.0062501761,0.017235323,-0.00025894704,-3.9578219e-05,-1.0052916e-16,-2.6468753e-16,0.017174916,0.016894871,0.023351572
418,8.351631e-06,0.006548101,0.01820843,-0.00027033289,-4.0804588e-05,-1.0085539e-16,-2.6422294e-16,0.018144355,0.017855035,0.024629133
419,7.6927471e-06,0.0060360872,0.016931654,-0.00024685738,-3.6838968e-05,-8.8474033e-17,-2.3052217e-16,0.016872135,0.016610702,0.022863035
420,8.7817047e-06,0.0068919489,0.019508939,-0.00027752009,-4.1000114e-05,-9.5525398e-17,-2.4740379e-16,0.019440776,0.019149973,0.026296673
421,8.7067491e-06,0.0068307076,0.019519576,-0.00026908316,-3.9418601e-05,-8.8941336e-17,-2.2882855e-16,0.019452136,0.019173192,0.026262863
422,8.4731048e-06,0.006641309,0.019166442,-0.00025417381,-3.6992593e-05,-8.0678307e-17,-2.0604687e-16,0.0191013,0.018840688,0.025738711
423,8.4681373e-06,0.0066275474,0.019324074,-0.00024454994,-3.5445691e-05,-7.4564796e-17,-1.8887486e-16,0.019259816,0.019011882,0.025899064
424,8.769886e-06,0.0068495518,0.020185809,-0.00024158831,-3.4977602e-05,-7.0808303e-17,-1.777113e-16,0.020120515,0.019878426,0.026998248
