wavelength,energy,GaAs,Ag mirror,Active region
1200,1.0350749,-2.7657458e-06,0.062499094,-2.7657458e-06
1199,1.0359375,-2.9007806e-06,0.068087084,-2.9007806e-06
1198,1.0368015,-3.0237062e-06,0.073920376,-3.0237062e-06
1197,1.0376669,-3.1310972e-06,0.079783206,-3.1310972e-06
1196,1.0385338,-3.2194943e-06,0.085457643,-3.2194943e-06
1195,1.0394022,-3.2854037e-06,0.090723563,-3.2854037e-06
1194,1.040272,-3.3252969e-06,0.095358638,-3.3252969e-06
1193,1.0411432,-3.3356105e-06,0.099138312,-3.3356105e-06
1192,1.0420159,-3.3127461e-06,0.10183578,-3.3127461e-06
1191,1.0428901,-3.2530696e-06,0.10322199,-3.2530696e-06
1190,1.0437657,-3.1529111e-06,0.10306559,-3.1529111e-06
1189,1.0446429,-3.0085646e-06,0.10113293,-3.0085646e-06
1188,1.0455214,-2.7971896e-06,0.097503781,-2.7971896e-06
1187,1.0464015,-2.5107655e-06,0.092613628,-2.5107655e-06
1186,1.0472831,-2.167931e-06,0.08676295,-2.167931e-06
1185,1.0481661,-1.7875155e-06,0.0802553,-1.7875155e-06
1184,1.0490506,-1.3885408e-06,0.073397334,-1.3885408e-06
1183,1.0499367,-9.9022225e-07,0.066498833,-9.9022225e-07
1182,1.0508242,-6.1197117e-07,0.059872734,-6.1197117e-07
1181,1.0517132,-2.7339589e-07,0.053835154,-2.7339589e-07
1180,1.0526037,5.6963702e-09,0.048705417,5.6963702e-09
1179,1.0534958,2.0529779e-07,0.044806081,2.0529779e-07
1178,1.0543893,3.5577513e-07,0.041649007,3.5577513e-07
1177,1.0552844,4.9996071e-07,0.038554492,4.9996071e-07
1176,1.056181,6.3638252e-07,0.035560489,6.3638252e-07
1175,1.0570791,7.635537e-07,0.032705337,7.635537e-07
1174,1.0579787,8.7997238e-07,0.030027761,8.7997238e-07
1173,1.0588799,9.8412158e-07,0.027566881,9.8412158e-07
1172,1.0597826,1.0744691e-06,0.025362213,1.0744691e-06
1171,1.0606869,1.1494672e-06,0.023453671,1.1494672e-06
1170,1.0615927,1.2075529e-06,0.021881573,1.2075529e-06
1169,1.0625,1.2471474e-06,0.020686641,1.2471474e-06
1168,1.0634089,1.2776592e-06,0.019690314,1.2776592e-06
1167,1.0643193,1.308997e-06,0.018696782,1.308997e-06
1166,1.0652314,1.3403137e-06,0.01772132,1.3403137e-06
1165,1.0661449,1.3707539e-06,0.01677936,1.3707539e-06
1164,1.0670601,1.3994529e-06,0.015886495,1.3994529e-06
1163,1.0679768,1.4255374e-06,0.015058475,1.4255374e-06
1162,1.0688951,1.448125e-06,0.014311212,1.448125e-06
1161,1.069815,1.4663244e-06,0.013660781,1.4663244e-06
1160,1.0707364,1.479235e-06,0.013123423,1.479235e-06
1159,1.0716595,1.4859471e-06,0.012715541,1.4859471e-06
1158,1.0725841,1.4889128e-06,0.012371249,1.4889128e-06
1157,1.0735104,1.4911499e-06,0.012018884,1.4911499e-06
1156,1.0744382,1.4925896e-06,0.011666369,1.4925896e-06
1155,1.0753676,1.4931621e-06,0.011321714,1.4931621e-06
1154,1.0762987,1.4927974e-06,0.01099301,1.4927974e-06
1153,1.0772314,1.4914245e-06,0.01068843,1.4914245e-06
1152,1.0781657,1.4889717e-06,0.010416235,1.4889717e-06
1151,1.0791016,1.4853666e-06,0.01018477,1.4853666e-06
1150,1.0800391,1.4805361e-06,0.010002467,1.4805361e-06
1149,1.0809783,1.4744064e-06,0.0098778439,1.4744064e-06
1148,1.0819191,1.465125e-06,0.0097872556,1.465125e-06
1147,1.0828615,1.4513001e-06,0.0097023703,1.4513001e-06
1146,1.0838056,1.4335529e-06,0.0096247536,1.4335529e-06
1145,1.0847513,1.4125115e-06,0.009555987,1.4125115e-06
1144,1.0856987,1.3888105e-06,0.0094976688,1.3888105e-06
1143,1.0866477,1.3630912e-06,0.0094514134,1.3630912e-06
1142,1.0875984,1.336002e-06,0.0094188522,1.336002e-06
1141,1.0885508,1.308198e-06,0.0094016332,1.308198e-06
1140,1.0895048,1.280341e-06,0.0094014216,1.280341e-06
1139,1.0904605,1.2531002e-06,0.0094198994,1.2531002e-06
1138,1.0914179,1.2183727e-06,0.0094707608,1.2183727e-06
1137,1.092377,1.1689465e-06,0.0095628169,1.1689465e-06
1136,1.0933377,1.1068483e-06,0.0096903934,1.1068483e-06
1135,1.0943002,1.034127e-06,0.0098477547,1.034127e-06
1134,1.0952643,9.5285317e-07,0.010029104,9.5285317e-07
1133,1.0962302,8.6511982e-07,0.01022858,8.6511982e-07
1132,1.0971977,7.7304233e-07,0.010440263,7.7304233e-07
1131,1.098167,6.787587e-07,0.010658166,6.787587e-07
1130,1.0991379,5.8442977e-07,0.01087624,5.8442977e-07
1129,1.1001106,4.9223938e-07,0.01108837,4.9223938e-07
1128,1.101085,3.7207702e-07,0.011353918,3.7207702e-07
1127,1.1020612,1.9723794e-07,0.01172702,1.9723794e-07
1126,1.103039,-2.4908269e-08,0.012193567,-2.4908269e-08
1125,1.1040187,-2.8691182e-07,0.012739295,-2.8691182e-07
1124,1.105,-5.8124207e-07,0.013349786,-5.8124207e-07
1123,1.1059831,-9.0028676e-07,0.014010465,-9.0028676e-07
1122,1.1069679,-1.2363513e-06,0.014706599,-1.2363513e-06
1121,1.1079545,-1.5816581e-06,0.015423296,-1.5816581e-06
1120,1.1089429,-1.9283455e-06,0.016145505,-1.9283455e-06
1119,1.109933,-2.2684677e-06,0.01685801,-2.2684677e-06
1118,1.1109249,-2.6954402e-06,0.017726586,-2.6954402e-06
1117,1.1119186,-3.2987592e-06,0.018910295,-3.2987592e-06
1116,1.1129141,-4.0644194e-06,0.020383523,-4.0644194e-06
1115,1.1139113,-4.9782601e-06,0.022120373,-4.9782601e-06
1114,1.1149103,-6.025963e-06,0.024094659,-6.025963e-06
1113,1.1159111,-7.1930513e-06,0.026279904,-7.1930513e-06
