wavelength (nm),GaAs,Ag mirror,Active region
900,0.0016028802,0.0051346434,0.0016028802
901,0.0013653421,0.0045567558,0.0013653421
902,0.0012276756,0.0043181406,0.0012276756
903,0.0010253932,0.0038550496,0.0010253932
904,0.00083412342,0.0034104656,0.00083412342
905,0.00065556795,0.0029761741,0.00065556795
906,0.00051129598,0.0026376002,0.00051129598
907,0.00038277024,0.0022902957,0.00038277024
908,0.00028676033,0.0019980496,0.00028676033
909,0.00023428045,0.0018250831,0.00023428045
910,0.00019847878,0.0016681841,0.00019847878
911,0.00016190981,0.001497369,0.00016190981
912,0.00013005654,0.0013607244,0.00013005654
913,9.8415144e-05,0.001213158,9.8415144e-05
914,6.9091092e-05,0.0010682105,6.9091092e-05
915,4.4472945e-05,0.00095765457,4.4472945e-05
916,2.3060143e-05,0.00085062611,2.3060143e-05
917,6.3083828e-06,0.0007693881,6.3083828e-06
918,-5.5751298e-06,0.00071423658,-5.5751298e-06
919,-1.197511e-05,0.00067572293,-1.197511e-05
920,-1.5346261e-05,0.00064613399,-1.5346261e-05
921,-1.8827096e-05,0.00062532884,-1.8827096e-05
922,-2.1680647e-05,0.00059186043,-2.1680647e-05
923,-2.621597e-05,0.00060765125,-2.621597e-05
924,-2.9926487e-05,0.00060517771,-2.9926487e-05
925,-3.2082991e-05,0.0005795641,-3.2082991e-05
926,-3.6407393e-05,0.00060009997,-3.6407393e-05
927,-3.8887445e-05,0.00059638121,-3.8887445e-05
928,-4.1226462e-05,0.00059914598,-4.1226462e-05
929,-4.3176453e-05,0.00060515342,-4.3176453e-05
930,-4.5061108e-05,0.00061885479,-4.5061108e-05
931,-4.6547601e-05,0.00063516848,-4.6547601e-05
932,-4.8570961e-05,0.00066683509,-4.8570961e-05
933,-5.0194742e-05,0.00070097341,-5.0194742e-05
934,-5.1264165e-05,0.00073499624,-5.1264165e-05
935,-5.2698029e-05,0.00078166445,-5.2698029e-05
936,-5.4396547e-05,0.00083993006,-5.4396547e-05
937,-5.630867e-05,0.0009095625,-5.630867e-05
938,-5.7602496e-05,0.00097715566,-5.7602496e-05
939,-5.7819071e-05,0.00103316,-5.7819071e-05
940,-5.8351626e-05,0.0011574342,-5.8351626e-05
941,-5.7341965e-05,0.0013485543,-5.7341965e-05
942,-6.0107557e-05,0.0017133139,-6.0107557e-05
943,-5.8890674e-05,0.0020282512,-5.8890674e-05
944,-5.9222799e-05,0.0024287068,-5.9222799e-05
945,-5.9362323e-05,0.0028439916,-5.9362323e-05
946,-5.8510809e-05,0.003208744,-5.8510809e-05
947,-5.7877892e-05,0.0035590636,-5.7877892e-05
948,-5.6893103e-05,0.0038419986,-5.6893103e-05
949,-5.5280008e-05,0.0040119632,-5.5280008e-05
950,-5.0399462e-05,0.0040928442,-5.0399462e-05
951,-4.1336502e-05,0.0042006774,-4.1336502e-05
952,-2.8264227e-05,0.0042385716,-2.8264227e-05
953,-1.2890606e-05,0.0042188708,-1.2890606e-05
954,3.0673746e-06,0.0039900265,3.0673746e-06
955,1.8921705e-05,0.0041270954,1.8921705e-05
956,3.3361268e-05,0.0040849417,3.3361268e-05
957,4.5347991e-05,0.0040245784,4.5347991e-05
958,5.3397667e-05,0.0039262282,5.3397667e-05
959,5.5508155e-05,0.0037468094,5.5508155e-05
960,5.4014767e-05,0.0035275807,5.4014767e-05
961,5.1758498e-05,0.0032781548,5.1758498e-05
962,4.8100464e-05,0.0029561934,4.8100464e-05
963,4.3468683e-05,0.0025902087,4.3468683e-05
964,3.9386517e-05,0.002271015,3.9386517e-05
965,3.4339102e-05,0.0019106847,3.4339102e-05
966,3.0305327e-05,0.0016230834,3.0305327e-05
967,2.6031608e-05,0.0013417109,2.6031608e-05
968,2.2968475e-05,0.0011464681,2.2968475e-05
969,2.0961816e-05,0.0010317711,2.0961816e-05
970,1.9225822e-05,0.00094944052,1.9225822e-05
971,1.7862478e-05,0.00089184414,1.7862478e-05
972,1.6225985e-05,0.00082610298,1.6225985e-05
973,1.4522313e-05,0.00076111234,1.4522313e-05
974,1.3210064e-05,0.00072013079,1.3210064e-05
975,1.198852e-05,0.0006873496,1.198852e-05
976,1.0622187e-05,0.00064783501,1.0622187e-05
977,9.5706396e-06,0.00062768568,9.5706396e-06
978,8.4446555e-06,0.00060102139,8.4446555e-06
979,7.6978293e-06,0.00059791321,7.6978293e-06
980,6.9310867e-06,0.00059054557,6.9310867e-06
981,6.2519804e-06,0.00058966202,6.2519804e-06
982,5.5163612e-06,0.00058246824,5.5163612e-06
983,4.7853663e-06,0.00057373902,4.7853663e-06
984,4.1296723e-06,0.00057245507,4.1296723e-06
985,3.4576283e-06,0.00056744668,3.4576283e-06
986,2.8258018e-06,0.0005671085,2.8258018e-06
987,2.2030145e-06,0.00056663154,2.2030145e-06
988,1.5852558e-06,0.00056313256,1.5852558e-06
989,1.008695e-06,0.00056937247,1.008695e-06
990,4.6118529e-07,0.00058254836,4.6118529e-07
991,-5.2717445e-08,0.00059574128,-5.2717445e-08
992,-5.3632109e-07,0.00061775839,-5.3632109e-07
993,-1.0078768e-06,0.00064720716,-1.0078768e-06
994,-1.4660975e-06,0.00067488838,-1.4660975e-06
995,-1.9382556e-06,0.00070915021,-1.9382556e-06
996,-2.3982658e-06,0.00073558305,-2.3982658e-06
997,-2.9172181e-06,0.00077304259,-2.9172181e-06
998,-3.474928e-06,0.0008096595,-3.474928e-06
999,-4.0943043e-06,0.00084727722,-4.0943043e-06
1000,-4.8172587e-06,0.00090406189,-4.8172587e-06
1001,-5.5882045e-06,0.00098166518,-5.5882045e-06
1002,-6.3578602e-06,0.0010719805,-6.3578602e-06
1003,-7.1754522e-06,0.0011828802,-7.1754522e-06
1004,-7.5672221e-06,0.001235588,-7.5672221e-06
1005,-8.8754086e-06,0.0014480179,-8.8754086e-06
1006,-1.0005045e-05,0.0016403703,-1.0005045e-05
1007,-1.101382e-05,0.0018212725,-1.101382e-05
1008,-1.1916856e-05,0.0019919152,-1.1916856e-05
1009,-1.2884641e-05,0.0021797093,-1.2884641e-05
1010,-1.3845586e-05,0.0024312918,-1.3845586e-05
1011,-1.5072038e-05,0.0028328837,-1.5072038e-05
1012,-1.631429e-05,0.0033101572,-1.631429e-05
