wavelength (nm),GaAs,Ag mirror,Active region
900,0.0010020811,0.0032100524,0.0010020811
901,0.00097279848,0.0032466626,0.00097279848
902,0.00085830671,0.0030189484,0.00085830671
903,0.00087800821,0.0033009438,0.00087800821
904,0.00069362178,0.0028359991,0.00069362178
905,0.00052357334,0.0023769395,0.00052357334
906,0.00033452567,0.0017257029,0.00033452567
907,0.00025940802,0.001552161,0.00025940802
908,0.00021344461,0.0014872103,0.00021344461
909,0.00015327862,0.0011940656,0.00015327862
910,0.00013842419,0.0011634343,0.00013842419
911,0.00011733259,0.0010851115,0.00011733259
912,8.5104539e-05,0.00089041137,8.5104539e-05
913,6.4361006e-05,0.00079337453,6.4361006e-05
914,4.9428559e-05,0.00076421003,4.9428559e-05
915,2.6891046e-05,0.00057905616,2.6891046e-05
916,1.7737574e-05,0.00065429096,1.7737574e-05
917,3.9502509e-06,0.0004817837,3.9502509e-06
918,-4.3221786e-06,0.00055371949,-4.3221786e-06
919,-9.4211682e-06,0.00053161094,-9.4211682e-06
920,-1.2873015e-05,0.00054200122,-1.2873015e-05
921,-1.4311037e-05,0.00047533109,-1.4311037e-05
922,-1.813281e-05,0.00049500796,-1.813281e-05
923,-2.037144e-05,0.00047218284,-2.037144e-05
924,-2.2748597e-05,0.00046002538,-2.2748597e-05
925,-2.4993402e-05,0.00045149401,-2.4993402e-05
926,-3.0550881e-05,0.00050356758,-3.0550881e-05
927,-2.4715023e-05,0.00037903172,-2.4715023e-05
928,-2.4555522e-05,0.00035686649,-2.4555522e-05
929,-2.021936e-05,0.00028339092,-2.021936e-05
930,-1.9943672e-05,0.00027389999,-1.9943672e-05
931,-1.5272675e-05,0.00020840433,-1.5272675e-05
932,-1.3103178e-05,0.00017989471,-1.3103178e-05
933,-7.8751833e-06,0.00010997754,-7.8751833e-06
934,-1.4187312e-05,0.00020340955,-1.4187312e-05
935,-9.4405296e-06,0.0001400304,-9.4405296e-06
936,-9.8466619e-06,0.00015204104,-9.8466619e-06
937,-1.2424653e-05,0.00020069731,-1.2424653e-05
938,-2.5273535e-05,0.00042873452,-2.5273535e-05
939,-3.0569081e-05,0.00054623416,-3.0569081e-05
940,-2.4610656e-05,0.00048816487,-2.4610656e-05
941,-2.7165877e-05,0.00063888046,-2.7165877e-05
942,-1.8853265e-05,0.00053739601,-1.8853265e-05
943,-1.9416065e-05,0.00066870787,-1.9416065e-05
944,-2.4948128e-05,0.0010231142,-2.4948128e-05
945,-1.3144423e-05,0.0006297366,-1.3144423e-05
946,-2.4737208e-05,0.0013565932,-2.4737208e-05
947,-1.8038588e-05,0.0011092401,-1.8038588e-05
948,-3.1767473e-05,0.0021452615,-3.1767473e-05
949,-9.3019468e-06,0.00067509159,-9.3019468e-06
950,-2.7997789e-05,0.0022736471,-2.7997789e-05
951,-1.2750797e-05,0.0012957552,-1.2750797e-05
952,-1.1175479e-05,0.0016759018,-1.1175479e-05
953,-6.3481472e-06,0.002077638,-6.3481472e-06
954,1.2845479e-06,0.0016709339,1.2845479e-06
955,7.3129323e-06,0.0015950555,7.3129323e-06
956,1.0594644e-05,0.0012972679,1.0594644e-05
957,2.4283168e-05,0.0021551013,2.4283168e-05
958,2.3128963e-05,0.0017006283,2.3128963e-05
959,2.7321383e-05,0.0018441977,2.7321383e-05
960,2.9364308e-05,0.0019177157,2.9364308e-05
961,2.689766e-05,0.001703579,2.689766e-05
962,2.8696488e-05,0.0017636497,2.8696488e-05
963,2.3851294e-05,0.0014212492,2.3851294e-05
964,2.349412e-05,0.001354664,2.349412e-05
965,2.0698792e-05,0.0011517152,2.0698792e-05
966,1.8050239e-05,0.00096672914,1.8050239e-05
967,2.0321468e-05,0.0010474011,2.0321468e-05
968,1.8797132e-05,0.00093825615,1.8797132e-05
969,1.5809828e-05,0.00077818277,1.5809828e-05
970,1.6489709e-05,0.00081432138,1.6489709e-05
971,1.4652968e-05,0.00073159859,1.4652968e-05
972,1.1851661e-05,0.00060339587,1.1851661e-05
973,1.0232222e-05,0.00053626929,1.0232222e-05
974,9.4848492e-06,0.00051705517,9.4848492e-06
975,8.274343e-06,0.00047440103,8.274343e-06
976,8.2662872e-06,0.00050415137,8.2662872e-06
977,7.1229915e-06,0.00046715789,7.1229915e-06
978,6.6153657e-06,0.00047082753,6.6153657e-06
979,5.6548934e-06,0.00043923233,5.6548934e-06
980,6.0127401e-06,0.00051230019,6.0127401e-06
981,5.2262667e-06,0.00049292077,5.2262667e-06
982,4.4758498e-06,0.00047260145,4.4758498e-06
983,4.3128735e-06,0.00051708975,4.3128735e-06
984,3.4681725e-06,0.00048075799,3.4681725e-06
985,3.1838429e-06,0.00052251456,3.1838429e-06
986,2.5632736e-06,0.00051442188,2.5632736e-06
987,1.9921692e-06,0.00051240058,1.9921692e-06
988,1.4779833e-06,0.00052502602,1.4779833e-06
989,9.1739887e-07,0.00051783905,9.1739887e-07
990,4.2892212e-07,0.00054179498,4.2892212e-07
