wavelength (nm),GaAs,Ag mirror,Active region
900,0.0010693659,0.0034255915,0.0010693659
901,0.0010395869,0.0034695654,0.0010395869
902,0.00091695317,0.0032252273,0.00091695317
903,0.00094030001,0.0035351349,0.00094030001
904,0.00074243345,0.0030355745,0.00074243345
905,0.00056008525,0.0025426978,0.00056008525
906,0.00035700704,0.0018416766,0.00035700704
907,0.00027692807,0.0016569918,0.00027692807
908,0.00022807861,0.0015891751,0.00022807861
909,0.00016352459,0.0012738834,0.00016352459
910,0.00014777634,0.0012420377,0.00014777634
911,0.0001253084,0.0011588731,0.0001253084
912,9.0779523e-05,0.00094978623,9.0779523e-05
913,6.864407e-05,0.00084617162,6.864407e-05
914,5.2762167e-05,0.00081575061,5.2762167e-05
915,2.8654156e-05,0.00061702197,2.8654156e-05
916,1.8948711e-05,0.00069896654,1.8948711e-05
917,4.2101583e-06,0.00051348274,4.2101583e-06
918,-4.6169024e-06,0.00059147692,-4.6169024e-06
919,-1.0064557e-05,0.00056791559,-1.0064557e-05
920,-1.3762615e-05,0.00057945665,-1.3762615e-05
921,-1.5280322e-05,0.00050752524,-1.5280322e-05
922,-1.9383151e-05,0.00052914105,-1.9383151e-05
923,-2.1751926e-05,0.00050418066,-2.1751926e-05
924,-2.4281423e-05,0.00049102242,-2.4281423e-05
925,-2.6684037e-05,0.00048203454,-2.6684037e-05
926,-3.2648031e-05,0.00053813472,-3.2648031e-05
927,-2.6324359e-05,0.00040371263,-2.6324359e-05
928,-2.6136706e-05,0.0003798459,-2.6136706e-05
929,-2.1477385e-05,0.00030102318,-2.1477385e-05
930,-2.1175792e-05,0.00029082153,-2.1175792e-05
931,-1.6187335e-05,0.00022088539,-1.6187335e-05
932,-1.3875103e-05,0.00019049254,-1.3875103e-05
933,-8.3243999e-06,0.00011625088,-8.3243999e-06
934,-1.5022141e-05,0.00021537886,-1.5022141e-05
935,-9.9815962e-06,0.00014805599,-9.9815962e-06
936,-1.0410585e-05,0.00016074849,-1.0410585e-05
937,-1.3142796e-05,0.00021229758,-1.3142796e-05
